timeframe,rank,similarity,candidate_start,candidate_end,before_archetype,matched_archetype,after_archetype,before_micro_behaviour,matched_micro_behaviour,after_micro_behaviour,before_bullish,matched_bullish,after_bullish,before_range,matched_range,after_range
1m,1,0.2277370034458535,20590,20609,REJECTION_MIX,BEARISH_TO_BULLISH_SHIFT,SIDEWAYS_COMPRESSION,REJECTION_BALANCE,BULLISH_SHIFT,WICK_REJECTION_COMPRESSION,0.4,0.6,0.6,1.1145253980750256,1.0277425475485464,0.8642265318285578
1m,2,0.2190209695900002,10381,10400,SIDEWAYS_TO_DIRECTIONAL,EXPANSION_SEQUENCE,COMPRESSION_SEQUENCE,HIGH_ALTERNATION,RANGE_EXPANSION,REJECTION_BALANCE,0.3,0.5,0.7,1.0076101784574627,1.1636859213809014,0.6225258814550065
1m,3,0.21503974953568714,131,150,REJECTION_MIX,EXPANSION_SEQUENCE,SIDEWAYS_COMPRESSION,HIGH_ALTERNATION,RANGE_EXPANSION,WICK_REJECTION_COMPRESSION,0.4,0.55,0.5,1.0523456363157255,1.638952275491573,0.9113961901247849
1m,4,0.21005384391756163,6335,6354,HIGH_ALTERNATION,BULLISH_TO_BEARISH_SHIFT,REJECTION_MIX,HIGH_ALTERNATION,DIRECTIONAL_COMPRESSION,HIGH_ALTERNATION,0.6,0.6,0.4,0.9964666465539578,0.9015904812516174,1.5319505413434111
1m,5,0.207871415240803,20688,20707,HIGH_ALTERNATION,REJECTION_MIX,HIGH_ALTERNATION,HIGH_ALTERNATION,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,0.4,0.6,0.3,1.0100734485940759,0.9912375196472871,1.399534983500485
1m,6,0.2056113090870499,20895,20914,BEARISH_TO_BULLISH_SHIFT,EXPANSION_SEQUENCE,PERSISTENT_BULLISH_BODY,DIRECTIONAL_COMPRESSION,RANGE_EXPANSION,PERSISTENT_BULLISH_BODY,0.3,0.55,0.8,0.8073541901988452,1.24581661932381,1.3498603564549099
1m,7,0.20415577709325144,29192,29211,REJECTION_MIX,REJECTION_MIX,HIGH_ALTERNATION,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,HIGH_ALTERNATION,0.4,0.5,0.3,0.9789102325059138,1.251223184303711,0.9080305381832972
1m,8,0.20290517304452302,1875,1894,PERSISTENT_BEARISH_BODY,REJECTION_MIX,HIGH_ALTERNATION,MIXED_MICRO_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,0.2,0.75,0.6,1.2871021864239303,0.8635081352181458,1.4515113356541476
1m,9,0.20201717572910238,5410,5429,REJECTION_MIX,REJECTION_MIX,REJECTION_MIX,REJECTION_BALANCE,REJECTION_BALANCE,MIXED_MICRO_BEHAVIOUR,0.3,0.6,0.3,1.6644893468383202,1.0600631337031228,1.0708408726811676
1m,10,0.2013897150309097,25724,25743,PERSISTENT_BEARISH_BODY,REJECTION_MIX,HIGH_ALTERNATION,PERSISTENT_BEARISH_BODY,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,0.2,0.6,0.5,1.0354260993684847,1.028023312425867,1.1381353699959855
1m,11,0.20080522015889665,26352,26371,REJECTION_MIX,SIDEWAYS_TO_DIRECTIONAL,PERSISTENT_BEARISH_BODY,HIGH_ALTERNATION,RANGE_EXPANSION,DIRECTIONAL_COMPRESSION,0.5,0.35,0.2,0.9581237788490157,1.218880731116396,0.8482478483061506
1m,12,0.20041989941314475,7756,7775,REJECTION_MIX,MIXED_BEHAVIOUR,HIGH_ALTERNATION,HIGH_ALTERNATION,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,0.3,0.45,0.5,1.6107079737062726,1.12674714590851,1.3377523211134263
1m,13,0.2003521171479866,29725,29744,SIDEWAYS_COMPRESSION,EXPANSION_SEQUENCE,MIXED_BEHAVIOUR,BALANCED_COMPRESSION,RANGE_EXPANSION,MIXED_MICRO_BEHAVIOUR,0.4,0.55,0.5,0.8730953638658606,1.0348702827443177,1.0126642039203593
1m,14,0.1995406014649154,29786,29805,PERSISTENT_BULLISH_BODY,EXPANSION_SEQUENCE,HIGH_ALTERNATION,PERSISTENT_BULLISH_BODY,RANGE_EXPANSION,HIGH_ALTERNATION,0.8,0.55,0.6,1.6839806795002186,1.126288160826466,0.8936247831284657
1m,15,0.19719585149129015,11161,11180,REJECTION_MIX,REJECTION_MIX,MIXED_BEHAVIOUR,REJECTION_BALANCE,MIXED_MICRO_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR,0.5,0.55,0.5,1.0876987112060268,0.9492004044746153,1.4454901494082892
