timeframe,rank,candidate_start,candidate_end,similarity,candles,bullish_fraction,bearish_fraction,alternation_fraction,compression_fraction,expansion_fraction,upper_rejection_fraction,lower_rejection_fraction,mean_body_pct,mean_range_ratio,first_half_bullish,second_half_bullish,directional_shift,range_shift,body_shift,archetype,micro_behaviour
1m,1,20590,20609,0.2277370034458535,20,0.6,0.4,0.3157894736842105,0.35,0.25,0.25,0.4,0.47352820254606753,1.0277425475485464,0.3,0.9,0.6000000000000001,0.22251403216480092,0.04321743689912899,BEARISH_TO_BULLISH_SHIFT,BULLISH_SHIFT
1m,2,10381,10400,0.2190209695900002,20,0.5,0.5,0.47368421052631576,0.3,0.4,0.2,0.4,0.5834837602202247,1.1636859213809014,0.4,0.6,0.19999999999999996,0.32956302467402954,-0.17735238344435422,EXPANSION_SEQUENCE,RANGE_EXPANSION
1m,3,131,150,0.21503974953568714,20,0.55,0.45,0.5263157894736842,0.3,0.5,0.25,0.35,0.5495262626921349,1.638952275491573,0.6,0.5,-0.09999999999999998,0.9868405649359011,-0.01942230218172114,EXPANSION_SEQUENCE,RANGE_EXPANSION
1m,4,6335,6354,0.21005384391756163,20,0.6,0.4,0.3157894736842105,0.5,0.2,0.3,0.3,0.4739533021443575,0.9015904812516174,0.8,0.4,-0.4,0.18110487608984083,0.0036320393244450577,BULLISH_TO_BEARISH_SHIFT,DIRECTIONAL_COMPRESSION
1m,5,20688,20707,0.207871415240803,20,0.6,0.4,0.5263157894736842,0.45,0.3,0.3,0.2,0.5155655203787024,0.9912375196472871,0.5,0.7,0.19999999999999996,0.1579132807160979,0.12399900077237508,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
1m,6,20895,20914,0.2056113090870499,20,0.55,0.4,0.42105263157894735,0.4,0.35,0.3,0.4,0.4669447870992178,1.24581661932381,0.4,0.7,0.29999999999999993,0.755431355595151,-0.06305355199536983,EXPANSION_SEQUENCE,RANGE_EXPANSION
1m,7,29192,29211,0.20415577709325144,20,0.5,0.5,0.7894736842105263,0.15,0.45,0.25,0.4,0.4940702481488518,1.251223184303711,0.5,0.5,0.0,-0.020684607487907902,0.14056221200044622,REJECTION_MIX,HIGH_ALTERNATION
1m,8,1875,1894,0.20290517304452302,20,0.75,0.25,0.5263157894736842,0.5,0.05,0.3,0.2,0.5103272867228021,0.8635081352181458,0.8,0.7,-0.10000000000000009,0.2668305861290302,-0.06375436324429373,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
1m,9,5410,5429,0.20201717572910238,20,0.6,0.4,0.6842105263157895,0.35,0.3,0.45,0.25,0.4428639260039226,1.0600631337031228,0.6,0.6,0.0,0.03398324261477148,0.012671616995276358,REJECTION_MIX,REJECTION_BALANCE
1m,10,25724,25743,0.2013897150309097,20,0.6,0.4,0.3684210526315789,0.35,0.3,0.2,0.35,0.5344204534445506,1.028023312425867,0.7,0.5,-0.19999999999999996,0.5730594607722737,-0.0767367096832498,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
1m,11,26352,26371,0.20080522015889665,20,0.35,0.65,0.5789473684210527,0.35,0.45,0.35,0.2,0.6331830336923181,1.218880731116396,0.3,0.4,0.10000000000000003,0.6303606662044291,0.1731236257004818,SIDEWAYS_TO_DIRECTIONAL,RANGE_EXPANSION
1m,12,7756,7775,0.20041989941314475,20,0.45,0.55,0.3684210526315789,0.35,0.5,0.25,0.1,0.6500389503681053,1.12674714590851,0.3,0.6,0.3,-0.1927767918754073,0.060198617804871346,MIXED_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR
1m,13,29725,29744,0.2003521171479866,20,0.55,0.45,0.8421052631578947,0.45,0.4,0.15,0.2,0.7030149430417251,1.0348702827443177,0.5,0.6,0.09999999999999998,0.3561167598429016,-0.029916234639214223,EXPANSION_SEQUENCE,RANGE_EXPANSION
1m,14,29786,29805,0.1995406014649154,20,0.55,0.45,0.5263157894736842,0.3,0.4,0.2,0.05,0.6616213759551648,1.126288160826466,0.6,0.5,-0.09999999999999998,0.2583698057317755,0.06454538820216504,EXPANSION_SEQUENCE,RANGE_EXPANSION
1m,15,11161,11180,0.19719585149129015,20,0.55,0.4,0.2631578947368421,0.45,0.25,0.3,0.25,0.5545391497157739,0.9492004044746153,0.6,0.5,-0.09999999999999998,-0.2037082844491649,0.010048077618850959,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
1m,16,6328,6347,0.1970835649573064,20,0.7,0.3,0.3684210526315789,0.45,0.2,0.4,0.25,0.44015309430410027,0.9139811224934882,0.8,0.6,-0.20000000000000007,0.09429589229467539,0.06902649064582389,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
