timeframe,rank,candidate_start,candidate_end,similarity
1m,1,20590,20609,0.2277370034458535
1m,2,10381,10400,0.2190209695900002
1m,3,131,150,0.21503974953568714
1m,4,6335,6354,0.21005384391756163
1m,5,20688,20707,0.207871415240803
1m,6,20895,20914,0.2056113090870499
1m,7,29192,29211,0.20415577709325144
1m,8,1875,1894,0.20290517304452302
1m,9,5410,5429,0.20201717572910238
1m,10,25724,25743,0.2013897150309097
3m,1,21149,21168,0.3606024429579151
3m,2,6938,6957,0.35843502662239035
3m,3,6629,6648,0.35641327281381985
3m,4,13910,13929,0.35456339709417184
3m,5,15843,15862,0.34713643275905137
3m,6,2223,2242,0.3470751626272191
3m,7,2889,2908,0.34195020811267257
3m,8,20164,20183,0.341199558578006
3m,9,717,736,0.3407102767385392
3m,10,24443,24462,0.3394089656411916
5m,1,2183,2202,0.3439495453366893
5m,2,14594,14613,0.34254098835346464
5m,3,7110,7129,0.34240731157337173
5m,4,29956,29975,0.3380523925440677
5m,5,17394,17413,0.3367324550645847
5m,6,6785,6804,0.33631628590053014
5m,7,16322,16341,0.3350253965947196
5m,8,18018,18037,0.3337767548077475
5m,9,11360,11379,0.3337584141505599
5m,10,20403,20422,0.33324386389300414
15m,1,14991,15010,0.3768985653935664
15m,2,2335,2354,0.37048035762095693
15m,3,15095,15114,0.36404172962291714
15m,4,5617,5636,0.35297808673113307
15m,5,27274,27293,0.35007080784301187
15m,6,12348,12367,0.3460577816936714
15m,7,22041,22060,0.34602206614787206
15m,8,23384,23403,0.34213439589873607
15m,9,12605,12624,0.33985607951297886
15m,10,18592,18611,0.33926839089900845
30m,1,10361,10380,0.3154677046288155
30m,2,10217,10236,0.3131077521097864
30m,3,14180,14199,0.31077214103167244
30m,4,23299,23318,0.30195901305476625
30m,5,24691,24710,0.30150823873315796
30m,6,20852,20871,0.2992395450990151
30m,7,24164,24183,0.29635495108764665
30m,8,18748,18767,0.2961231166735066
30m,9,16254,16273,0.29430117439419545
30m,10,13713,13732,0.2929332422967969
1h,1,2337,2356,0.3469396595048701
1h,2,20761,20780,0.32963494706688234
1h,3,15506,15525,0.3264616344767954
1h,4,18791,18810,0.3228648242563793
1h,5,17447,17466,0.3220890508222792
1h,6,25464,25483,0.3215883423269641
1h,7,12192,12211,0.3206679373255908
1h,8,12143,12162,0.3203199883977145
1h,9,24145,24164,0.31767735787299184
1h,10,25187,25206,0.3142213884703696
4h,1,6175,6194,0.33667401151723175
4h,2,9307,9326,0.3136913652893642
4h,3,2679,2698,0.3136568170942352
4h,4,9326,9345,0.3112080729793453
4h,5,8798,8817,0.3111648688882593
4h,6,8147,8166,0.3109807064625408
4h,7,2900,2919,0.31054588855822524
4h,8,7223,7242,0.306785361404897
4h,9,4939,4958,0.3062930836026302
4h,10,6762,6781,0.3060926861932875
1d,1,1065,1084,0.27433409943675846
1d,2,1891,1910,0.2738171051226423
1d,3,391,410,0.2734563558174049
1d,4,144,163,0.2721544206195058
1d,5,2714,2733,0.2714769692971006
1d,6,981,1000,0.2688190496102354
1d,7,1072,1091,0.26519060866981164
1d,8,2896,2915,0.2647747289045391
1d,9,662,681,0.2638811950598586
1d,10,1068,1087,0.26183563727713444
