rank,similarity,before_profile,matched_profile,after_profile,before_bullish,matched_bullish,after_bullish,before_range,matched_range,after_range
1,0.3469396595048701,SIDEWAYS_TO_DIRECTIONAL_LIKE,RANGE_EXPANSION_LIKE,SIDEWAYS_TO_DIRECTIONAL_LIKE,0.3,0.55,0.7,0.8340647346409936,1.3949606353006943,1.2554748471391701
2,0.32963494706688234,RANGE_COMPRESSION_LIKE,SIDEWAYS_LIKE,SIDEWAYS_LIKE,0.3,0.55,0.4,1.1792971781023267,0.9854974873214684,1.164271886645158
3,0.3264616344767954,MIXED_SEQUENCE,SIDEWAYS_LIKE,SIDEWAYS_LIKE,0.5,0.65,0.4,0.8706955206079897,0.841816008372408,0.7319991956755676
4,0.3228648242563793,MIXED_SEQUENCE,MIXED_SEQUENCE,RANGE_COMPRESSION_LIKE,0.3,0.8,0.6,0.8833401895500479,0.8028395667118916,0.9262080109169256
5,0.3220890508222792,RANGE_COMPRESSION_LIKE,RANGE_EXPANSION_LIKE,SIDEWAYS_LIKE,0.6,0.7,0.4,0.8190623239719992,1.3045420898227622,0.9233573234004855
6,0.3215883423269641,SIDEWAYS_TO_DIRECTIONAL_LIKE,SIDEWAYS_LIKE,RANGE_COMPRESSION_LIKE,0.4,0.55,0.6,0.927831589825705,1.2185651482284754,1.2826253856303849
7,0.3206679373255908,MIXED_SEQUENCE,MIXED_SEQUENCE,SIDEWAYS_TO_DIRECTIONAL_LIKE,0.5,0.4,0.4,0.9771235868665376,1.3194717518227446,1.0824875344598315
8,0.3203199883977145,MIXED_SEQUENCE,RANGE_EXPANSION_LIKE,BEARISH_TO_BULLISH_SHIFT,0.6,0.55,0.4,1.0194254942542063,1.3581342643959584,1.7452841310274323
9,0.31767735787299184,RANGE_COMPRESSION_LIKE,SIDEWAYS_LIKE,SIDEWAYS_LIKE,0.4,0.55,0.5,0.8735446809225866,1.0293652098149457,0.6142533774316886
10,0.3142213884703696,RANGE_COMPRESSION_LIKE,BULLISH_TO_BEARISH_SHIFT,SIDEWAYS_TO_DIRECTIONAL_LIKE,0.6,0.5,0.3,1.7534652206308272,1.2881944977750643,1.2584309750543974
