rank,candidate_start,candidate_end,similarity,candles,bullish_fraction,bearish_fraction,alternation_fraction,compression_fraction,expansion_fraction,upper_rejection_fraction,lower_rejection_fraction,mean_body_pct,mean_range_ratio,first_half_bullish_fraction,second_half_bullish_fraction,directional_shift,range_shift,body_shift,transition_profile
1,2337,2356,0.3469396595048701,20,0.55,0.45,0.47368421052631576,0.2,0.45,0.2,0.5,0.47531436797254134,1.3949606353006943,0.6,0.5,-0.09999999999999998,0.8321558946927924,0.03470466272172118,RANGE_EXPANSION_LIKE
2,20761,20780,0.32963494706688234,20,0.55,0.45,0.5263157894736842,0.4,0.2,0.3,0.35,0.4853414583602036,0.9854974873214684,0.6,0.5,-0.09999999999999998,0.3966654446331982,0.10699809296296714,SIDEWAYS_LIKE
3,15506,15525,0.3264616344767954,20,0.65,0.35,0.47368421052631576,0.45,0.1,0.35,0.4,0.37892255043754947,0.841816008372408,0.7,0.6,-0.09999999999999998,0.29670005598910554,0.03783633492670546,SIDEWAYS_LIKE
4,18791,18810,0.3228648242563793,20,0.8,0.2,0.21052631578947367,0.5,0.1,0.45,0.2,0.4129729344861034,0.8028395667118916,0.8,0.8,0.0,0.1703106431392919,-0.0932136341138165,MIXED_SEQUENCE
5,17447,17466,0.3220890508222792,20,0.7,0.3,0.42105263157894735,0.3,0.4,0.55,0.15,0.4675397703069768,1.3045420898227622,0.8,0.6,-0.20000000000000007,0.8446755084986763,-0.004364857205338246,RANGE_EXPANSION_LIKE
6,25464,25483,0.3215883423269641,20,0.55,0.45,0.47368421052631576,0.3,0.3,0.4,0.3,0.36995510200131887,1.2185651482284754,0.7,0.4,-0.29999999999999993,0.5593648853379019,0.01497470982101523,SIDEWAYS_LIKE
7,12192,12211,0.3206679373255908,20,0.4,0.6,0.5263157894736842,0.2,0.4,0.2,0.5,0.3939752318457432,1.3194717518227446,0.3,0.5,0.2,0.1817717453198726,-0.03499201271795788,MIXED_SEQUENCE
8,12143,12162,0.3203199883977145,20,0.55,0.45,0.47368421052631576,0.2,0.45,0.5,0.2,0.4346224950654466,1.3581342643959584,0.6,0.5,-0.09999999999999998,0.7759750627655129,-0.12876043792976016,RANGE_EXPANSION_LIKE
9,24145,24164,0.31767735787299184,20,0.55,0.45,0.47368421052631576,0.55,0.25,0.35,0.45,0.3792150430930648,1.0293652098149457,0.5,0.6,0.09999999999999998,0.6186153737515548,-0.07095540403117967,SIDEWAYS_LIKE
10,25187,25206,0.3142213884703696,20,0.5,0.5,0.42105263157894735,0.2,0.4,0.2,0.45,0.38977839641723233,1.2881944977750643,0.7,0.3,-0.39999999999999997,-0.3735741420600962,0.07337785594521168,BULLISH_TO_BEARISH_SHIFT
