timeframe,pattern_code,count,mean_similarity,best_similarity
15m,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,2,0.3494021797585123,0.37048035762095693
15m,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,2,0.3402848709219305,0.3460577816936714
15m,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,2,0.334366776592108,0.33985607951297886
15m,BULL_BIASED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3768985653935664,0.3768985653935664
15m,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.36404172962291714,0.36404172962291714
15m,BALANCED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.35297808673113307,0.35297808673113307
15m,BULL_BIASED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.35007080784301187,0.35007080784301187
15m,BALANCED | STABLE | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.34602206614787206,0.34602206614787206
15m,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.34213439589873607,0.34213439589873607
15m,BALANCED | STABLE | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.33926839089900845,0.33926839089900845
15m,BALANCED | STABLE | WICK_BALANCED | BULL_SHIFT | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.33908320353689336,0.33908320353689336
15m,BULL_BIASED | EXPANDING | UPPER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3367689242114424,0.3367689242114424
15m,BALANCED | STABLE | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3362532870106219,0.3362532870106219
15m,BALANCED | EXPANDING | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3358549550033493,0.3358549550033493
15m,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.33312193927045874,0.33312193927045874
15m,BALANCED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.33195486825373216,0.33195486825373216
15m,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3316362016150259,0.3316362016150259
15m,BALANCED | EXPANDING | UPPER_WICK | BEAR_SHIFT | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3305459367966874,0.3305459367966874
15m,BALANCED | EXPANDING | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3300336680682905,0.3300336680682905
15m,BALANCED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.32982904392333745,0.32982904392333745
15m,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3287534638320484,0.3287534638320484
15m,BEAR_BIASED | EXPANDING | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3285759288563902,0.3285759288563902
1d,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,3,0.2610375692498703,0.2688190496102354
1d,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,2,0.2672559088548975,0.27433409943675846
1d,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,2,0.26495713767920603,0.2721544206195058
1d,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.2738171051226423,0.2738171051226423
1d,BALANCED | EXPANDING | LOWER_WICK | BEAR_SHIFT | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.2734563558174049,0.2734563558174049
1d,BALANCED | STABLE | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.2714769692971006,0.2714769692971006
1d,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.26519060866981164,0.26519060866981164
1d,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.2647747289045391,0.2647747289045391
