timeframe,rank,candidate_start,candidate_end,similarity,current_fingerprint_id,matched_fingerprint_id,matched_pattern_code,before_bullish,matched_bullish,after_bullish,before_range,matched_range,after_range,before_alternation,matched_alternation,after_alternation
1m,1,20590,20609,0.2277370034458535,FP-9E97C4C0DF,FP-4AA562DB0E,BALANCED | EXPANDING | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.6,0.6,1.1145253980750256,1.0277425475485464,0.8642265318285578,0.6666666666666666,0.3157894736842105,0.4444444444444444
1m,2,10381,10400,0.2190209695900002,FP-9E97C4C0DF,FP-1F074D2382,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.3,0.5,0.7,1.0076101784574627,1.1636859213809014,0.6225258814550065,0.6666666666666666,0.47368421052631576,0.5555555555555556
1m,3,131,150,0.21503974953568714,FP-9E97C4C0DF,FP-51BEA060CE,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.4,0.55,0.5,1.0523456363157255,1.638952275491573,0.9113961901247849,0.6666666666666666,0.5263157894736842,0.7777777777777778
1m,4,6335,6354,0.21005384391756163,FP-9E97C4C0DF,FP-D0903A12D6,BALANCED | STABLE | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.6,0.6,0.4,0.9964666465539578,0.9015904812516174,1.5319505413434111,0.6666666666666666,0.3157894736842105,0.5555555555555556
1m,5,20688,20707,0.207871415240803,FP-9E97C4C0DF,FP-2EA6D5AA8D,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.6,0.3,1.0100734485940759,0.9912375196472871,1.399534983500485,0.5555555555555556,0.5263157894736842,0.6666666666666666
1m,6,20895,20914,0.2056113090870499,FP-9E97C4C0DF,FP-6DE4F0A711,BALANCED | EXPANDING | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.3,0.55,0.8,0.8073541901988452,1.24581661932381,1.3498603564549099,0.3333333333333333,0.42105263157894735,0.3333333333333333
1m,7,29192,29211,0.20415577709325144,FP-9E97C4C0DF,FP-8EBF34ADC2,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.4,0.5,0.3,0.9789102325059138,1.251223184303711,0.9080305381832972,0.3333333333333333,0.7894736842105263,0.6666666666666666
1m,8,1875,1894,0.20290517304452302,FP-9E97C4C0DF,FP-F34DE697DF,BULL_BIASED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.2,0.75,0.6,1.2871021864239303,0.8635081352181458,1.4515113356541476,0.2222222222222222,0.5263157894736842,0.6666666666666666
1m,9,5410,5429,0.20201717572910238,FP-9E97C4C0DF,FP-BC8689ED55,BALANCED | STABLE | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,0.3,0.6,0.3,1.6644893468383202,1.0600631337031228,1.0708408726811676,0.5555555555555556,0.6842105263157895,0.4444444444444444
1m,10,25724,25743,0.2013897150309097,FP-9E97C4C0DF,FP-3DA25DCE13,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,0.2,0.6,0.5,1.0354260993684847,1.028023312425867,1.1381353699959855,0.3333333333333333,0.3684210526315789,0.5555555555555556
1m,11,26352,26371,0.20080522015889665,FP-9E97C4C0DF,FP-42C3274FA0,BALANCED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,0.5,0.35,0.2,0.9581237788490157,1.218880731116396,0.8482478483061506,0.6666666666666666,0.5789473684210527,0.3333333333333333
1m,12,7756,7775,0.20041989941314475,FP-9E97C4C0DF,FP-B4A6D5D48F,BALANCED | STABLE | UPPER_WICK | BULL_SHIFT | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,0.3,0.45,0.5,1.6107079737062726,1.12674714590851,1.3377523211134263,0.5555555555555556,0.3684210526315789,0.5555555555555556
1m,13,29725,29744,0.2003521171479866,FP-9E97C4C0DF,FP-DA266F55A8,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,0.4,0.55,0.5,0.8730953638658606,1.0348702827443177,1.0126642039203593,0.5555555555555556,0.8421052631578947,0.4444444444444444
