timeframe,rank,candidate_start,candidate_end,similarity,direction_balance,alternation,body_level,body_shift,small_body_fraction,large_body_fraction,upper_rejection,lower_rejection,rejection_balance,wick_bias,range_level,range_shift,compression_fraction,expansion_fraction,expansion_transition,close_location,close_shift,direction_shift,first_third_alternation,last_third_alternation,bullish_fraction,bearish_fraction,middle_third_range,pattern_code,fingerprint_id
1m,1,20590,20609,0.2277370034458535,0.19999999999999996,0.3157894736842105,0.47352820254606753,0.04321743689912899,0.35,0.35,0.25,0.4,0.85,0.15000000000000002,1.0277425475485464,0.22251403216480092,0.35,0.25,0.21930696511590386,0.6225596968866337,0.1995705371126475,0.6000000000000001,0.6,0.4,0.6,0.4,0.8507451387024708,BALANCED | EXPANDING | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-4AA562DB0E
1m,2,10381,10400,0.2190209695900002,0.0,0.47368421052631576,0.5834837602202247,-0.17735238344435422,0.15,0.45,0.2,0.4,0.8,0.2,1.1636859213809014,0.32956302467402954,0.3,0.4,0.4015170672235301,0.5654232875783292,0.022432063569819305,0.19999999999999996,0.6,0.4,0.5,0.5,1.2832028310801302,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-1F074D2382
1m,3,131,150,0.21503974953568714,0.10000000000000003,0.5263157894736842,0.5495262626921349,-0.01942230218172114,0.15,0.45,0.25,0.35,0.9,0.09999999999999998,1.638952275491573,0.9868405649359011,0.3,0.5,1.6727709460436953,0.6130308498819794,0.028672432691418837,-0.09999999999999998,0.6,0.4,0.55,0.45,1.5296405240335316,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-51BEA060CE
1m,4,6335,6354,0.21005384391756163,0.19999999999999996,0.3157894736842105,0.4739533021443575,0.0036320393244450577,0.35,0.35,0.3,0.3,1.0,0.0,0.9015904812516174,0.18110487608984083,0.5,0.2,0.08847359066928828,0.5561702669558501,-0.13012944396767118,-0.4,0.4,0.2,0.6,0.4,0.9666226274729245,BALANCED | STABLE | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-D0903A12D6
1m,5,20688,20707,0.207871415240803,0.19999999999999996,0.5263157894736842,0.5155655203787024,0.12399900077237508,0.25,0.5,0.3,0.2,0.9,-0.09999999999999998,0.9912375196472871,0.1579132807160979,0.45,0.3,0.14911214392896688,0.5340837146745977,0.24214146913418766,0.19999999999999996,0.6,1.0,0.6,0.4,0.8286799836629125,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-2EA6D5AA8D
1m,6,20895,20914,0.2056113090870499,0.15000000000000002,0.42105263157894735,0.4669447870992178,-0.06305355199536983,0.25,0.3,0.3,0.4,0.8999999999999999,0.10000000000000003,1.24581661932381,0.755431355595151,0.4,0.35,0.957971969188854,0.5308221490208307,0.20718657021817133,0.29999999999999993,0.2,0.8,0.55,0.4,1.6136325876891406,BALANCED | EXPANDING | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-6DE4F0A711
1m,7,29192,29211,0.20415577709325144,0.0,0.7894736842105263,0.4940702481488518,0.14056221200044622,0.25,0.35,0.25,0.4,0.85,0.15000000000000002,1.251223184303711,-0.020684607487907902,0.15,0.45,0.23333271718657156,0.4859566636650151,0.15860105920609074,0.0,1.0,0.8,0.5,0.5,1.3624978128629952,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-8EBF34ADC2
1m,8,1875,1894,0.20290517304452302,0.5,0.5263157894736842,0.5103272867228021,-0.06375436324429373,0.3,0.5,0.3,0.2,0.9,-0.09999999999999998,0.8635081352181458,0.2668305861290302,0.5,0.05,0.3597164021121866,0.6211147389600048,0.049035661259204,-0.10000000000000009,0.4,0.4,0.75,0.25,0.8032048372272912,BULL_BIASED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-F34DE697DF
1m,9,5410,5429,0.20201717572910238,0.19999999999999996,0.6842105263157895,0.4428639260039226,0.012671616995276358,0.25,0.35,0.45,0.25,0.8,-0.2,1.0600631337031228,0.03398324261477148,0.35,0.3,-0.164167246521716,0.48722267077072334,0.08049666771921848,0.0,0.6,0.8,0.6,0.4,1.072735797584835,BALANCED | STABLE | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-BC8689ED55
1m,10,25724,25743,0.2013897150309097,0.19999999999999996,0.3684210526315789,0.5344204534445506,-0.0767367096832498,0.2,0.4,0.2,0.35,0.8500000000000001,0.14999999999999997,1.028023312425867,0.5730594607722737,0.35,0.3,0.8162317044145142,0.6154799687159704,-0.1911338989643493,-0.19999999999999996,0.4,0.4,0.6,0.4,0.9278009257678623,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-3DA25DCE13
1m,11,26352,26371,0.20080522015889665,-0.30000000000000004,0.5789473684210527,0.6331830336923181,0.1731236257004818,0.15,0.5,0.35,0.2,0.8500000000000001,-0.14999999999999997,1.218880731116396,0.6303606662044291,0.35,0.45,0.797856221046651,0.44943030381285587,0.1113867524370511,0.10000000000000003,0.6,0.8,0.35,0.65,1.329473452588074,BALANCED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-42C3274FA0
1m,12,7756,7775,0.20041989941314475,-0.10000000000000003,0.3684210526315789,0.6500389503681053,0.060198617804871346,0.1,0.6,0.25,0.1,0.85,-0.15,1.12674714590851,-0.1927767918754073,0.35,0.5,0.06181407420110574,0.4656377625522719,0.1831603358856046,0.3,0.2,0.4,0.45,0.55,1.303945119138212,BALANCED | STABLE | UPPER_WICK | BULL_SHIFT | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,FP-B4A6D5D48F
1m,13,29725,29744,0.2003521171479866,0.10000000000000003,0.8421052631578947,0.7030149430417251,-0.029916234639214223,0.15,0.65,0.15,0.2,0.95,0.05000000000000002,1.0348702827443177,0.3561167598429016,0.45,0.4,0.4349614598301481,0.5615749596039271,0.017123018298839332,0.09999999999999998,1.0,0.6,0.55,0.45,1.0008252182436888,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-DA266F55A8
1m,14,29786,29805,0.1995406014649154,0.10000000000000003,0.5263157894736842,0.6616213759551648,0.06454538820216504,0.15,0.75,0.2,0.05,0.85,-0.15000000000000002,1.126288160826466,0.2583698057317755,0.3,0.4,0.5496217785306933,0.47140891168393084,-0.1999785999038739,-0.09999999999999998,0.6,0.6,0.55,0.45,0.9531636807960457,BALANCED | EXPANDING | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-BF94BB1FBE
1m,15,11161,11180,0.19719585149129015,0.15000000000000002,0.2631578947368421,0.5545391497157739,0.010048077618850959,0.15,0.4,0.3,0.25,0.95,-0.04999999999999999,0.9492004044746153,-0.2037082844491649,0.45,0.25,-0.27099763629938,0.5063083691506086,0.012710294718982662,-0.09999999999999998,0.4,0.4,0.55,0.4,0.9886859481377307,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | LOW_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-E2A45F424A
1m,16,6328,6347,0.1970835649573064,0.39999999999999997,0.3684210526315789,0.44015309430410027,0.06902649064582389,0.35,0.3,0.4,0.25,0.85,-0.15000000000000002,0.9139811224934882,0.09429589229467539,0.45,0.2,0.2603852858024872,0.5650941075839436,0.04243402999523205,-0.20000000000000007,0.4,0.2,0.7,0.3,0.7722877194335379,BULL_BIASED | STABLE | UPPER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-B8EEB7D8B4
1m,17,6332,6351,0.19657197330789256,0.10000000000000003,0.42105263157894735,0.47101994365373984,0.044779236596187044,0.35,0.35,0.3,0.3,1.0,0.0,0.9291601076488968,0.20167162818519402,0.45,0.2,0.03609919001285711,0.5288776606184343,0.039519073482412126,-0.09999999999999998,0.6,0.4,0.55,0.45,0.7658065392993415,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-E811D839DD
1m,18,15293,15312,0.19651736326416036,0.19999999999999996,0.5789473684210527,0.5492703091231307,-0.046584914104240815,0.15,0.45,0.2,0.35,0.8500000000000001,0.14999999999999997,1.398212785036721,0.8537973804794797,0.3,0.55,1.3560653955094817,0.5225054383724521,-0.10480949704113335,0.0,0.6,0.6,0.6,0.4,1.5818252454514383,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-F5D0252F38
1m,19,22326,22345,0.1959982126353152,0.04999999999999999,0.42105263157894735,0.5944570688722663,0.08070527023724083,0.1,0.55,0.15,0.3,0.85,0.15,0.9232243275058509,0.15988164418323136,0.45,0.2,-0.21718339394771058,0.5896118306270339,-0.022386886219978752,0.0,0.6,0.2,0.5,0.45,0.9264129815928565,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-A5206E6D31
1m,20,20435,20454,0.19560309562019873,0.0,0.5789473684210527,0.6653418942792954,0.20852242741675442,0.2,0.6,0.15,0.2,0.95,0.05000000000000002,1.694591967712666,0.594784857683053,0.2,0.55,0.7783066950421891,0.5022304205114884,-0.027204377939752278,0.0,0.6,0.4,0.5,0.5,1.534327376807867,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-3C5FA7EBF4
1m,21,17266,17285,0.19544380172326437,0.30000000000000004,0.42105263157894735,0.6220640742816241,-0.06383910557335093,0.1,0.55,0.2,0.15,0.95,-0.05000000000000002,0.9855544503059452,-0.16660862197886162,0.4,0.35,-0.2831552132819549,0.561853647391178,0.23086559320597239,0.30000000000000004,0.4,0.6,0.65,0.35,1.149347932148275,BALANCED | STABLE | WICK_BALANCED | BULL_SHIFT | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,FP-8B9AA0C31F
1m,22,16888,16907,0.19528382511589723,0.39999999999999997,0.3157894736842105,0.5810607887822481,-0.13475329719295992,0.25,0.45,0.25,0.3,0.95,0.04999999999999999,0.9532641145284844,-0.09100259402489286,0.5,0.25,-0.0403072334427973,0.5794691836199872,-0.07077318146877676,0.0,0.4,0.4,0.7,0.3,1.0425491895233834,BULL_BIASED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-5D4682690C
1m,23,7576,7595,0.1951703855680882,0.0,0.5263157894736842,0.40698666787815735,0.26088123288316784,0.4,0.35,0.25,0.55,0.7,0.30000000000000004,1.0571471727016026,0.8164725089551652,0.45,0.35,0.8046664305649374,0.6207361749876927,-0.1654675848191759,0.0,0.6,0.2,0.5,0.5,0.6975047745035226,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-B45CB586B0
1m,24,6412,6431,0.19514865620956373,-0.10000000000000003,0.5789473684210527,0.5390212981502625,0.06733801971418785,0.2,0.45,0.2,0.4,0.8,0.2,0.9520614467385966,0.12595636235934737,0.45,0.3,0.11038891997805722,0.5009156214641843,-0.07657417442684261,-0.3,0.8,0.8,0.45,0.55,0.9350976312548741,BALANCED | STABLE | LOWER_WICK | BEAR_SHIFT | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-3F30925A0B
1m,25,17359,17378,0.1951051768103642,0.10000000000000003,0.5263157894736842,0.6437912833078338,-0.11432068188856293,0.15,0.55,0.2,0.2,1.0,0.0,0.9302188505529374,0.1381787572042159,0.4,0.25,0.1878144144608801,0.5740431545432028,-0.1063452098616704,-0.09999999999999998,0.6,0.4,0.55,0.45,0.8793383725177643,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,FP-D17D07CD7C
3m,1,21149,21168,0.3606024429579151,0.0,0.6842105263157895,0.5057264451436365,0.07347961418137144,0.35,0.45,0.35,0.35,1.0,0.0,1.0160663506163945,-0.22656253934818182,0.35,0.35,-0.24284788389582068,0.5571273694637252,-0.03236138141084299,0.19999999999999996,0.6,1.0,0.5,0.5,0.8521783576854488,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-22871C4BD2
3m,2,6938,6957,0.35843502662239035,-0.39999999999999997,0.47368421052631576,0.48474643856060623,-0.03566739335259572,0.3,0.4,0.35,0.45,0.8999999999999999,0.10000000000000003,0.8299665774762793,0.08420553433231337,0.6,0.15,0.1312788276049024,0.4506947290808778,0.03705319631682391,0.0,0.4,0.4,0.3,0.7,0.7198491770855439,BEAR_BIASED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-E39B2AC29C
3m,3,6629,6648,0.35641327281381985,0.0,0.3684210526315789,0.4977438534930879,-0.11578701480142317,0.05,0.3,0.35,0.25,0.9,-0.09999999999999998,1.053609923037778,0.19086196175465964,0.35,0.4,0.5319802366869696,0.44974256261414236,0.13201679001040412,0.19999999999999996,0.4,0.2,0.5,0.5,1.129470672389066,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-67EAE762FF
3m,4,13910,13929,0.35456339709417184,0.19999999999999996,0.2631578947368421,0.4297491762346558,-0.1977132301953347,0.4,0.3,0.45,0.2,0.75,-0.25,0.8567758471879714,0.18227633255878795,0.55,0.05,0.3387823669513106,0.4830242329741221,0.21020755885578818,0.4,0.2,0.2,0.6,0.4,0.886131846286808,BALANCED | STABLE | UPPER_WICK | BULL_SHIFT | LOW_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-C4C9A7FFB1
3m,5,15843,15862,0.34713643275905137,0.0,0.6842105263157895,0.4982829581934432,-0.03697696283335,0.3,0.5,0.4,0.3,0.8999999999999999,-0.10000000000000003,0.8446485224452728,-0.05149048498508413,0.6,0.25,0.06101341474417543,0.5216197451950405,-0.061880679562690166,-0.19999999999999996,0.4,1.0,0.5,0.5,0.8385079931912541,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-DE6A3D976E
3m,6,2223,2242,0.3470751626272191,0.0,0.5263157894736842,0.44588733816444776,-0.17733845524564856,0.35,0.35,0.25,0.25,1.0,0.0,1.0199179680940973,-0.5264996483718452,0.4,0.35,-0.7018084043159817,0.5146187212274547,-0.061365091649382975,0.0,0.6,0.6,0.5,0.5,1.0352575614830195,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,FP-04E606B0C8
3m,7,2889,2908,0.34195020811267257,0.0,0.6842105263157895,0.5159364576546325,0.3088969758842343,0.3,0.55,0.35,0.25,0.9,-0.09999999999999998,0.9178139077075185,-0.05882986741215912,0.4,0.25,0.015419354350093895,0.46931043024665275,0.05525501994111387,0.19999999999999996,0.4,1.0,0.5,0.5,0.765377419093416,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-66839FC4A6
3m,8,20164,20183,0.341199558578006,0.10000000000000003,0.47368421052631576,0.5019876491704521,0.03443247532647514,0.35,0.45,0.25,0.3,0.95,0.04999999999999999,1.0656647869176328,-0.23509427111850056,0.45,0.35,-0.24483848741872638,0.5167901657520779,-0.19360573361554578,-0.09999999999999998,0.4,0.4,0.55,0.45,1.3305264103721834,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-F2338FA7D1
3m,9,717,736,0.3407102767385392,0.0,0.5263157894736842,0.4456607653072374,-0.33473764106131565,0.3,0.3,0.35,0.4,0.95,0.050000000000000044,1.1055947738857825,-0.21986376605686087,0.35,0.4,0.15243438469825477,0.48428874495648133,-0.20387978012445512,-0.19999999999999996,0.6,0.4,0.5,0.5,1.584196891191609,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-F8A8878CF9
3m,10,24443,24462,0.3394089656411916,0.0,0.631578947368421,0.6555360788532282,-0.1622470640740521,0.05,0.75,0.2,0.1,0.9,-0.1,1.3150989805766051,0.52698775542912,0.3,0.55,0.5147442891580938,0.479623270857467,0.005042763075295609,0.19999999999999996,0.6,0.4,0.5,0.5,1.1618406285072378,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-B2B4A41D85
3m,11,27104,27123,0.3389083866351877,-0.30000000000000004,0.631578947368421,0.5357275343729981,-0.14710282324150564,0.15,0.4,0.15,0.35,0.8,0.19999999999999998,0.9775186550581365,0.21867231699516565,0.5,0.35,0.37012221155191793,0.4160243383685492,0.04707682376114336,0.10000000000000003,0.4,0.8,0.35,0.65,0.758181086631652,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-AE6AB0A0B0
3m,12,25475,25494,0.3386066452137425,0.0,0.3684210526315789,0.4830459082994478,0.0876986510141165,0.3,0.45,0.35,0.25,0.9,-0.09999999999999998,1.147524492084342,0.21644926584183422,0.3,0.5,0.44568703781196783,0.5206199200608131,-0.0034594564455756593,0.0,0.6,0.2,0.5,0.5,1.4286612051318448,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,FP-0803DD3164
3m,13,23834,23853,0.3381004943027936,0.30000000000000004,0.3684210526315789,0.537048023287493,-0.21097314637179398,0.25,0.55,0.2,0.35,0.8500000000000001,0.14999999999999997,0.9836547243797478,0.1499926588404087,0.3,0.3,0.3203871578978702,0.5361576696075081,-0.27977433195656914,-0.30000000000000004,0.4,0.4,0.65,0.35,0.9881369857224899,BALANCED | STABLE | LOWER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-72FAC849C2
3m,14,6340,6359,0.33467721500550995,0.0,0.5263157894736842,0.3990160571786846,-0.14184722308389885,0.35,0.2,0.3,0.4,0.8999999999999999,0.10000000000000003,0.9032093190087513,-0.12476626384321765,0.4,0.2,-0.29166813138018555,0.5202818430291576,0.016739269705694282,0.0,0.6,0.6,0.5,0.5,0.86202645663768,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,FP-721ED88793
