archetype,member_index,reference_timestamp,rank,combined_similarity
ARCH-01,0,1789603200000,1,0.533109096909246
ARCH-01,1,1789588800000,2,0.474716342721604
ARCH-02,2,1788926400000,3,0.4518024450205788
ARCH-02,12,1787817600000,13,0.4152543599797971
ARCH-03,3,1789416000000,4,0.448418215816775
ARCH-04,4,1789041600000,5,0.4313049319880754
ARCH-04,15,1789012800000,16,0.4116428398069004
ARCH-04,16,1787990400000,17,0.4107013375658217
ARCH-05,5,1788552000000,6,0.4254642367138905
ARCH-05,21,1788523200000,22,0.4032198936948635
ARCH-06,6,1789387200000,7,0.4222302044727978
ARCH-07,7,1788782400000,8,0.4217544145462083
ARCH-08,8,1789531200000,9,0.4215595218530744
ARCH-09,9,1788336000000,10,0.4199151015152366
ARCH-10,10,1788955200000,11,0.418276303068938
ARCH-11,11,1788393600000,12,0.4168789001710463
ARCH-11,24,1788408000000,25,0.4004261909961463
ARCH-12,13,1787846400000,14,0.415085160377199
ARCH-13,14,1788681600000,15,0.4129751547958992
ARCH-14,17,1789070400000,18,0.4079732821353248
ARCH-15,18,1789315200000,19,0.4078528274204741
ARCH-16,19,1787947200000,20,0.4075248079200793
ARCH-17,20,1789214400000,21,0.4057320952682454
ARCH-18,22,1789473600000,23,0.4028546266212738
ARCH-19,23,1788278400000,24,0.4009602425111337
