archetype,reference_timestamp,1m_story,3m_story,5m_story,15m_story,30m_story,1h_story,4h_story,1d_story
ARCH-01,1789603200000,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> HOLD -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> REJECTION,INITIAL_CONTEXT -> RANGE_CHANGE -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> LEVEL_INTERACTION -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_CONTEXT -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> LEVEL_INTERACTION -> REJECTION -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION
ARCH-02,1788926400000,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> REJECTION -> HOLD -> EXPANSION_AFTER_TEST -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> REJECTION,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> HOLD
ARCH-03,1789416000000,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> HOLD -> PULLBACK -> EXPANSION_AFTER_TEST -> HOLD -> LEVEL_INTERACTION,INITIAL_CONTEXT -> DIRECTION_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_CONTEXT -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION -> PULLBACK -> EXPANSION_AFTER_TEST -> PULLBACK,INITIAL_CONTEXT -> BODY_CHANGE -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION -> PULLBACK
ARCH-04,1789041600000,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> PULLBACK -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> BODY_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_CONTEXT -> DIRECTION_CHANGE -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> REJECTION,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> HOLD -> REJECTION -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_CONTEXT -> DIRECTION_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> HOLD
ARCH-05,1788552000000,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> HOLD -> REJECTION,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> PULLBACK,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> HOLD -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> REJECTION,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> PULLBACK -> REJECTION -> EXPANSION_AFTER_TEST
ARCH-06,1789387200000,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE,INITIAL_CONTEXT -> DIRECTION_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> HOLD -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> BODY_CHANGE -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION -> PULLBACK
ARCH-07,1788782400000,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_CONTEXT -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> HOLD,INITIAL_CONTEXT -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_CONTEXT -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION -> HOLD -> EXPANSION_AFTER_TEST -> HOLD
ARCH-08,1789531200000,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> HOLD -> LEVEL_INTERACTION,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> REJECTION,INITIAL_CONTEXT -> HOLD -> REJECTION,INITIAL_CONTEXT -> HOLD -> PULLBACK -> REJECTION,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> HOLD -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> PULLBACK -> HOLD -> REJECTION -> HOLD -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> LEVEL_INTERACTION -> REJECTION -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD
ARCH-09,1788336000000,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION -> HOLD,INITIAL_CONTEXT -> BODY_CHANGE -> PULLBACK -> REJECTION -> PULLBACK -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION -> LEVEL_INTERACTION -> REJECTION,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> PULLBACK
ARCH-10,1788955200000,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE,INITIAL_CONTEXT -> DIRECTION_CHANGE,INITIAL_CONTEXT -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_CONTEXT -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> HOLD
