archetype,occurrence_count,occurrence_share,representative_index,representative_timestamp,representative_combined_similarity,description
ARCH-04,3,0.12,4,1789041600000,0.4313049319880754,Recurring descriptive multi-timeframe story structure
ARCH-02,2,0.08,2,1788926400000,0.4518024450205788,Recurring descriptive multi-timeframe story structure
ARCH-01,2,0.08,0,1789603200000,0.533109096909246,Recurring descriptive multi-timeframe story structure
ARCH-11,2,0.08,11,1788393600000,0.4168789001710463,Recurring descriptive multi-timeframe story structure
ARCH-05,2,0.08,5,1788552000000,0.4254642367138905,Recurring descriptive multi-timeframe story structure
ARCH-03,1,0.04,3,1789416000000,0.448418215816775,Recurring descriptive multi-timeframe story structure
ARCH-06,1,0.04,6,1789387200000,0.4222302044727978,Recurring descriptive multi-timeframe story structure
ARCH-07,1,0.04,7,1788782400000,0.4217544145462083,Recurring descriptive multi-timeframe story structure
ARCH-08,1,0.04,8,1789531200000,0.4215595218530744,Recurring descriptive multi-timeframe story structure
ARCH-09,1,0.04,9,1788336000000,0.4199151015152366,Recurring descriptive multi-timeframe story structure
ARCH-10,1,0.04,10,1788955200000,0.418276303068938,Recurring descriptive multi-timeframe story structure
ARCH-12,1,0.04,13,1787846400000,0.415085160377199,Recurring descriptive multi-timeframe story structure
ARCH-13,1,0.04,14,1788681600000,0.4129751547958992,Recurring descriptive multi-timeframe story structure
ARCH-14,1,0.04,17,1789070400000,0.4079732821353248,Recurring descriptive multi-timeframe story structure
ARCH-15,1,0.04,18,1789315200000,0.4078528274204741,Recurring descriptive multi-timeframe story structure
ARCH-16,1,0.04,19,1787947200000,0.4075248079200793,Recurring descriptive multi-timeframe story structure
ARCH-17,1,0.04,20,1789214400000,0.4057320952682454,Recurring descriptive multi-timeframe story structure
ARCH-18,1,0.04,22,1789473600000,0.4028546266212738,Recurring descriptive multi-timeframe story structure
ARCH-19,1,0.04,23,1788278400000,0.4009602425111337,Recurring descriptive multi-timeframe story structure
