timeframe,from_family,to_family,occurrence_count,occurrence_share
1m,INITIAL_CONTEXT,RANGE_CHANGE,21,0.84
4h,REJECTION,EXPANSION_AFTER_TEST,19,0.76
1h,INITIAL_CONTEXT,RANGE_CHANGE,19,0.76
30m,INITIAL_CONTEXT,RANGE_CHANGE,17,0.68
1d,INITIAL_CONTEXT,RANGE_CHANGE,15,0.6
1d,DIRECTION_CHANGE,BODY_CHANGE,15,0.6
1d,RANGE_CHANGE,DIRECTION_CHANGE,15,0.6
4h,EXPANSION_AFTER_TEST,REJECTION,13,0.52
1m,RANGE_CHANGE,BODY_CHANGE,13,0.52
5m,INITIAL_CONTEXT,DIRECTION_CHANGE,12,0.48
3m,BODY_CHANGE,LEVEL_INTERACTION,11,0.44
15m,INITIAL_CONTEXT,RANGE_CHANGE,11,0.44
1d,LEVEL_INTERACTION,EXPANSION_AFTER_TEST,11,0.44
1h,REJECTION,EXPANSION_AFTER_TEST,11,0.44
3m,LEVEL_INTERACTION,EXPANSION_AFTER_TEST,11,0.44
3m,INITIAL_CONTEXT,RANGE_CHANGE,11,0.44
5m,DIRECTION_CHANGE,BODY_CHANGE,11,0.44
1h,LEVEL_INTERACTION,EXPANSION_AFTER_TEST,10,0.4
1h,RANGE_CHANGE,BODY_CHANGE,10,0.4
5m,LEVEL_INTERACTION,EXPANSION_AFTER_TEST,10,0.4
1d,REJECTION,EXPANSION_AFTER_TEST,10,0.4
1m,LEVEL_INTERACTION,EXPANSION_AFTER_TEST,9,0.36
4h,LEVEL_INTERACTION,EXPANSION_AFTER_TEST,9,0.36
1h,BODY_CHANGE,REJECTION,9,0.36
5m,BODY_CHANGE,LEVEL_INTERACTION,9,0.36
1d,EXPANSION_AFTER_TEST,HOLD,9,0.36
30m,RANGE_CHANGE,BODY_CHANGE,9,0.36
4h,INITIAL_CONTEXT,DIRECTION_CHANGE,9,0.36
30m,LEVEL_INTERACTION,EXPANSION_AFTER_TEST,8,0.32
5m,REJECTION,EXPANSION_AFTER_TEST,8,0.32
30m,EXPANSION_AFTER_TEST,HOLD,8,0.32
1h,HOLD,EXPANSION_AFTER_TEST,8,0.32
15m,INITIAL_CONTEXT,DIRECTION_CHANGE,8,0.32
1m,BODY_CHANGE,LEVEL_INTERACTION,8,0.32
30m,HOLD,EXPANSION_AFTER_TEST,8,0.32
4h,EXPANSION_AFTER_TEST,HOLD,8,0.32
3m,REJECTION,EXPANSION_AFTER_TEST,8,0.32
5m,INITIAL_CONTEXT,RANGE_CHANGE,8,0.32
3m,INITIAL_CONTEXT,DIRECTION_CHANGE,8,0.32
1h,DIRECTION_CHANGE,BODY_CHANGE,8,0.32
4h,BODY_CHANGE,REJECTION,7,0.28
1d,BODY_CHANGE,LEVEL_INTERACTION,7,0.28
4h,HOLD,EXPANSION_AFTER_TEST,7,0.28
1d,HOLD,REJECTION,7,0.28
4h,INITIAL_CONTEXT,RANGE_CHANGE,7,0.28
30m,BODY_CHANGE,HOLD,7,0.28
1h,RANGE_CHANGE,DIRECTION_CHANGE,7,0.28
4h,EXPANSION_AFTER_TEST,LEVEL_INTERACTION,7,0.28
1h,EXPANSION_AFTER_TEST,REJECTION,7,0.28
15m,LEVEL_INTERACTION,EXPANSION_AFTER_TEST,7,0.28
3m,RANGE_CHANGE,BODY_CHANGE,7,0.28
1m,DIRECTION_CHANGE,BODY_CHANGE,6,0.24
1m,RANGE_CHANGE,DIRECTION_CHANGE,6,0.24
15m,EXPANSION_AFTER_TEST,HOLD,6,0.24
3m,DIRECTION_CHANGE,BODY_CHANGE,6,0.24
5m,EXPANSION_AFTER_TEST,HOLD,6,0.24
15m,HOLD,EXPANSION_AFTER_TEST,6,0.24
30m,DIRECTION_CHANGE,BODY_CHANGE,6,0.24
15m,HOLD,REJECTION,6,0.24
1d,EXPANSION_AFTER_TEST,REJECTION,6,0.24
1d,BODY_CHANGE,REJECTION,6,0.24
1h,EXPANSION_AFTER_TEST,HOLD,6,0.24
15m,DIRECTION_CHANGE,BODY_CHANGE,6,0.24
30m,EXPANSION_AFTER_TEST,REJECTION,6,0.24
5m,HOLD,EXPANSION_AFTER_TEST,5,0.2
1m,BODY_CHANGE,REJECTION,5,0.2
15m,BODY_CHANGE,REJECTION,5,0.2
15m,RANGE_CHANGE,BODY_CHANGE,5,0.2
1h,BODY_CHANGE,LEVEL_INTERACTION,5,0.2
1d,INITIAL_CONTEXT,BODY_CHANGE,5,0.2
1m,REJECTION,EXPANSION_AFTER_TEST,5,0.2
3m,DIRECTION_CHANGE,REJECTION,5,0.2
4h,LEVEL_INTERACTION,REJECTION,5,0.2
5m,BODY_CHANGE,REJECTION,5,0.2
30m,BODY_CHANGE,REJECTION,5,0.2
15m,REJECTION,EXPANSION_AFTER_TEST,5,0.2
30m,REJECTION,EXPANSION_AFTER_TEST,5,0.2
15m,DIRECTION_CHANGE,HOLD,5,0.2
1d,BODY_CHANGE,HOLD,5,0.2
4h,RANGE_CHANGE,BODY_CHANGE,5,0.2
1d,EXPANSION_AFTER_TEST,PULLBACK,5,0.2
30m,RANGE_CHANGE,DIRECTION_CHANGE,5,0.2
4h,INITIAL_CONTEXT,BODY_CHANGE,4,0.16
3m,BODY_CHANGE,REJECTION,4,0.16
4h,DIRECTION_CHANGE,REJECTION,4,0.16
30m,HOLD,REJECTION,4,0.16
1d,REJECTION,HOLD,4,0.16
5m,RANGE_CHANGE,BODY_CHANGE,4,0.16
1d,REJECTION,LEVEL_INTERACTION,4,0.16
3m,RANGE_CHANGE,DIRECTION_CHANGE,4,0.16
5m,EXPANSION_AFTER_TEST,LEVEL_INTERACTION,4,0.16
15m,RANGE_CHANGE,DIRECTION_CHANGE,4,0.16
30m,EXPANSION_AFTER_TEST,LEVEL_INTERACTION,3,0.12
5m,BODY_CHANGE,HOLD,3,0.12
1d,LEVEL_INTERACTION,REJECTION,3,0.12
30m,INITIAL_CONTEXT,DIRECTION_CHANGE,3,0.12
15m,BODY_CHANGE,DIRECTION_CHANGE,3,0.12
15m,REJECTION,HOLD,3,0.12
30m,EXPANSION_AFTER_TEST,PULLBACK,3,0.12
15m,PULLBACK,EXPANSION_AFTER_TEST,3,0.12
1h,LEVEL_INTERACTION,REJECTION,3,0.12
1d,INITIAL_CONTEXT,LEVEL_INTERACTION,3,0.12
30m,HOLD,LEVEL_INTERACTION,3,0.12
3m,INITIAL_CONTEXT,LEVEL_INTERACTION,3,0.12
15m,HOLD,LEVEL_INTERACTION,3,0.12
15m,BODY_CHANGE,HOLD,3,0.12
30m,REJECTION,HOLD,3,0.12
30m,INITIAL_CONTEXT,BODY_CHANGE,3,0.12
15m,INITIAL_CONTEXT,BODY_CHANGE,3,0.12
4h,DIRECTION_CHANGE,BODY_CHANGE,3,0.12
5m,HOLD,REJECTION,3,0.12
5m,RANGE_CHANGE,DIRECTION_CHANGE,3,0.12
15m,HOLD,PULLBACK,3,0.12
1d,HOLD,EXPANSION_AFTER_TEST,3,0.12
30m,BODY_CHANGE,LEVEL_INTERACTION,3,0.12
15m,LEVEL_INTERACTION,HOLD,3,0.12
15m,DIRECTION_CHANGE,LEVEL_INTERACTION,3,0.12
3m,INITIAL_CONTEXT,BODY_CHANGE,3,0.12
5m,INITIAL_CONTEXT,BODY_CHANGE,3,0.12
4h,BODY_CHANGE,LEVEL_INTERACTION,3,0.12
4h,HOLD,REJECTION,3,0.12
1h,EXPANSION_AFTER_TEST,LEVEL_INTERACTION,3,0.12
15m,EXPANSION_AFTER_TEST,REJECTION,3,0.12
15m,REJECTION,PULLBACK,2,0.08
4h,PULLBACK,EXPANSION_AFTER_TEST,2,0.08
15m,REJECTION,LEVEL_INTERACTION,2,0.08
4h,INITIAL_CONTEXT,REJECTION,2,0.08
3m,LEVEL_INTERACTION,REJECTION,2,0.08
1d,REJECTION,PULLBACK,2,0.08
4h,INITIAL_CONTEXT,LEVEL_INTERACTION,2,0.08
1d,HOLD,LEVEL_INTERACTION,2,0.08
4h,REJECTION,PULLBACK,2,0.08
1h,INITIAL_CONTEXT,DIRECTION_CHANGE,2,0.08
1m,EXPANSION_AFTER_TEST,REJECTION,2,0.08
30m,PULLBACK,EXPANSION_AFTER_TEST,2,0.08
5m,DIRECTION_CHANGE,LEVEL_INTERACTION,2,0.08
4h,REJECTION,LEVEL_INTERACTION,2,0.08
4h,DIRECTION_CHANGE,HOLD,2,0.08
1h,BODY_CHANGE,DIRECTION_CHANGE,2,0.08
30m,PULLBACK,REJECTION,2,0.08
1m,INITIAL_CONTEXT,BODY_CHANGE,2,0.08
1d,PULLBACK,LEVEL_INTERACTION,2,0.08
15m,BODY_CHANGE,LEVEL_INTERACTION,2,0.08
1h,REJECTION,HOLD,2,0.08
3m,EXPANSION_AFTER_TEST,PULLBACK,2,0.08
15m,PULLBACK,REJECTION,2,0.08
1h,BODY_CHANGE,HOLD,2,0.08
30m,REJECTION,LEVEL_INTERACTION,2,0.08
30m,LEVEL_INTERACTION,HOLD,2,0.08
1h,DIRECTION_CHANGE,HOLD,2,0.08
15m,EXPANSION_AFTER_TEST,LEVEL_INTERACTION,2,0.08
4h,DIRECTION_CHANGE,LEVEL_INTERACTION,2,0.08
1m,BODY_CHANGE,HOLD,2,0.08
1d,PULLBACK,REJECTION,2,0.08
1h,HOLD,REJECTION,2,0.08
1m,EXPANSION_AFTER_TEST,LEVEL_INTERACTION,2,0.08
5m,DIRECTION_CHANGE,REJECTION,2,0.08
4h,HOLD,LEVEL_INTERACTION,2,0.08
4h,EXPANSION_AFTER_TEST,PULLBACK,1,0.04
30m,RANGE_CHANGE,HOLD,1,0.04
30m,HOLD,PULLBACK,1,0.04
30m,DIRECTION_CHANGE,HOLD,1,0.04
15m,DIRECTION_CHANGE,REJECTION,1,0.04
30m,RANGE_CHANGE,REJECTION,1,0.04
