timeframe,rank,story_similarity,sequence_similarity,candidate_start,candidate_end,local_index,open_time,level_price,level_type,interaction,repeated_test,post_interaction_expansion,open,high,low,close,volume
1m,1,0.7233432443945118,0.7310439560439561,29990,30009,11,1789614000000,2430.92,BODY_ZONE,TEST,0,0,2429.08,2430.83,2429.08,2430.79,142.6599
1m,1,0.7233432443945118,0.7310439560439561,29990,30009,12,1789614060000,2430.92,BODY_ZONE,REJECTION,1,1,2430.79,2431.39,2430.71,2430.71,149.9867
1m,1,0.7233432443945118,0.7310439560439561,29990,30009,13,1789614120000,2430.92,BODY_ZONE,REJECTION,1,1,2430.71,2431.01,2430.05,2430.98,106.4963
1m,1,0.7233432443945118,0.7310439560439561,29990,30009,14,1789614180000,2430.92,BODY_ZONE,TEST,1,1,2430.98,2432.8,2430.98,2432.74,169.7669
1m,1,0.7233432443945118,0.7310439560439561,29990,30009,15,1789614240000,2432.63,SWING_HIGH,TEST,0,1,2432.73,2434.0,2432.61,2433.57,117.8843
1m,2,0.7177736648811133,0.7310439560439561,29989,30008,12,1789614000000,2430.92,BODY_ZONE,TEST,0,0,2429.08,2430.83,2429.08,2430.79,142.6599
1m,2,0.7177736648811133,0.7310439560439561,29989,30008,13,1789614060000,2430.92,BODY_ZONE,REJECTION,1,1,2430.79,2431.39,2430.71,2430.71,149.9867
1m,2,0.7177736648811133,0.7310439560439561,29989,30008,14,1789614120000,2430.92,BODY_ZONE,REJECTION,1,1,2430.71,2431.01,2430.05,2430.98,106.4963
1m,2,0.7177736648811133,0.7310439560439561,29989,30008,15,1789614180000,2430.92,BODY_ZONE,TEST,1,1,2430.98,2432.8,2430.98,2432.74,169.7669
1m,2,0.7177736648811133,0.7310439560439561,29989,30008,16,1789614240000,2432.63,SWING_HIGH,TEST,0,1,2432.73,2434.0,2432.61,2433.57,117.8843
1m,3,0.5934239667906116,0.6839592760180995,11056,11075,11,1788477960000,2498.8741015625,BODY_ZONE+SWING_HIGH+SWING_LOW,HOLD,0,0,2497.31,2498.9,2497.31,2498.9,61.1566
1m,3,0.5934239667906116,0.6839592760180995,11056,11075,12,1788478020000,2498.8741015625,BODY_ZONE+SWING_HIGH+SWING_LOW,REJECTION,1,0,2498.9,2499.01,2498.01,2499.0,52.3406
1m,3,0.5934239667906116,0.6839592760180995,11056,11075,13,1788478080000,2498.8741015625,BODY_ZONE+SWING_HIGH+SWING_LOW,REJECTION,1,1,2499.0,2499.01,2498.42,2498.94,48.3351
1m,3,0.5934239667906116,0.6839592760180995,11056,11075,14,1788478140000,2498.8741015625,BODY_ZONE+SWING_HIGH+SWING_LOW,HOLD,1,1,2498.95,2502.0,2498.95,2501.99,140.6981
1m,3,0.5934239667906116,0.6839592760180995,11056,11075,16,1788478260000,2498.8741015625,BODY_ZONE+SWING_HIGH+SWING_LOW,HOLD,1,1,2500.05,2500.05,2498.84,2498.85,34.6667
1m,3,0.5934239667906116,0.6839592760180995,11056,11075,18,1788478380000,2498.8741015625,BODY_ZONE+SWING_HIGH+SWING_LOW,HOLD,1,0,2499.37,2501.18,2498.6,2501.17,54.3144
