timeframe,rank,story_similarity,screen_similarity,candidate_start,candidate_end,open_time,close_time,interaction_count,break_count,hold_count,rejection_count,pullback_count,repeated_level_tests,reaction_expansion_count,swing_high_tests,swing_low_tests,body_zone_tests,first_direction,second_direction,direction_shift,first_range,second_range,range_shift,first_body,second_body,body_shift,first_close_location,second_close_location,close_location_shift,first_interaction_position,last_interaction_position,level_count,story,story_event_count,story_phase_count
1m,1,0.6338297021880186,0.6851599193334691,26225,26244,1789387440000,1789388639999,2,0,0,1,1,1,2,2,0,2,0.2,0.4,0.2,1.2360000000000126,1.802000000000089,0.5660000000000764,0.6980000000000018,1.2050000000000183,0.5070000000000164,0.44093211705802904,0.6663424349408227,0.22541031788279364,1.1,1.7,3,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> LEVEL_TEST -> POST_TEST_EXPANSION -> REJECTION -> REPEATED_LEVEL_TEST,2,7
1m,2,0.6215627315752257,0.6725830509987645,16913,16932,1788828720000,1788829919999,5,0,2,1,3,2,3,5,0,3,-0.1,0.0,0.1,1.0129999999999655,1.5910000000000308,0.5780000000000654,0.5720000000000255,1.177000000000089,0.6050000000000636,0.5228418105874809,0.5871887080195651,0.06434689743208422,1.0,1.9,5,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> HOLD -> REJECTION -> POST_TEST_EXPANSION -> PULLBACK_TO_LEVEL -> REPEATED_LEVEL_TEST,5,8
1m,3,0.6175762745430039,0.8073507626748818,26558,26577,1789407420000,1789408619999,3,0,0,1,1,2,0,0,0,3,-0.2,0.2,0.4,1.4289999999999963,1.85,0.4210000000000038,0.8360000000001037,1.25300000000002,0.41699999999991644,0.5299644999295295,0.6040244380606816,0.07405993813115208,1.0,1.4,4,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REJECTION -> LEVEL_TEST -> REPEATED_LEVEL_TEST -> PULLBACK_TO_LEVEL,3,8
1m,4,0.6123166692086192,0.6795831175299304,9566,9585,1788387900000,1788389099999,2,0,1,1,0,1,1,2,0,2,-0.2,0.2,0.4,1.2300000000000182,1.202999999999929,-0.027000000000089175,0.5650000000000546,1.0049999999999728,0.43999999999991823,0.4633627271494466,0.6014469660228564,0.13808423887340981,1.0,1.1,4,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REJECTION -> POST_TEST_EXPANSION -> LEVEL_TEST -> REPEATED_LEVEL_TEST,2,7
1m,5,0.6074323077533311,0.7170119736303707,8093,8112,1788299520000,1788300719999,8,0,2,1,4,5,1,0,3,5,-0.2,0.2,0.4,1.2099999999999453,1.5480000000000018,0.3380000000000565,0.5669999999999163,1.093000000000029,0.5260000000001127,0.4357888029319449,0.6614416863625165,0.22565288343057166,1.0,1.9,5,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> LEVEL_TEST -> POST_TEST_EXPANSION -> HOLD -> REJECTION -> PULLBACK_TO_LEVEL -> REPEATED_LEVEL_TEST,8,10
1m,6,0.6057145148990718,0.6879230152900074,21049,21068,1789076880000,1789078079999,4,0,3,0,2,2,2,2,2,4,0.0,0.2,0.2,0.9710000000000492,1.42800000000002,0.45699999999997076,0.48000000000006365,1.1049999999999272,0.6249999999998634,0.4331263463615798,0.5849117361970009,0.15178538983542106,1.1,1.7,4,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> HOLD -> POST_TEST_EXPANSION -> REPEATED_LEVEL_TEST -> PULLBACK_TO_LEVEL,4,8
1m,7,0.600076152676982,0.6792946504414042,18822,18841,1788943260000,1788944459999,4,0,2,1,3,1,1,3,1,2,-0.1,0.0,0.1,1.1039999999999963,1.4890000000000327,0.3850000000000364,0.53400000000006,0.9159999999999855,0.3819999999999255,0.4878358037557664,0.5924135968943458,0.1045777931385794,1.1,1.9,3,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION -> POST_TEST_EXPANSION -> PULLBACK_TO_LEVEL -> LEVEL_TEST -> REPEATED_LEVEL_TEST -> HOLD,4,9
1m,8,0.5993691827315535,0.6891119835131602,17180,17199,1788844740000,1788845939999,5,0,0,1,2,3,3,0,1,4,0.0,0.0,0.0,1.4709999999999581,1.9390000000000327,0.4680000000000746,0.6229999999999564,1.1130000000000564,0.4900000000001,0.5234806293151942,0.4710988171951705,-0.05238181212002374,1.0,1.4,4,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION -> LEVEL_TEST -> REPEATED_LEVEL_TEST -> POST_TEST_EXPANSION -> PULLBACK_TO_LEVEL,5,8
1m,9,0.598732676192431,0.6840456062330169,26555,26574,1789407240000,1789408439999,4,0,2,2,2,1,1,3,0,1,0.0,0.2,0.2,1.6,1.8069999999999709,0.20699999999997076,0.79300000000012,1.240000000000009,0.44699999999988904,0.5844597350896403,0.5729044476328496,-0.011555287456790686,1.0,1.7,5,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> REJECTION -> POST_TEST_EXPANSION -> HOLD -> PULLBACK_TO_LEVEL -> REPEATED_LEVEL_TEST,4,8
1m,10,0.5960917955037365,0.6678354959859752,14016,14035,1788654900000,1788656099999,7,0,3,1,3,5,1,3,0,4,-0.2,0.2,0.4,1.1079999999999928,1.2630000000001018,0.15500000000010905,0.4430000000000291,0.9220000000001164,0.4790000000000873,0.4914732714514483,0.6527510026998449,0.16127773124839656,1.0,1.9,4,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> LEVEL_TEST -> REJECTION -> REPEATED_LEVEL_TEST -> PULLBACK_TO_LEVEL -> HOLD -> POST_TEST_EXPANSION,7,9
