rank,reference_timestamp,screen_rank,combined_similarity,cross_tf_candle_similarity,cross_tf_story_similarity,alignment_status,max_alignment_gap_ms,1m_story,3m_story,5m_story,15m_story,30m_story,1h_story,4h_story,1d_story
1,1789344000000,4,0.4138858405839374,0.2940260041478322,0.5936755952380952,EXACTLY_SYNCHRONIZED,0,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BEARISH_BIAS -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BEARISH_BIAS -> DIRECTIONAL_SHIFT -> LEVEL_INTERACTION_CLUSTER -> HOLD_CLUSTER -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> PULLBACK_CLUSTER
2,1789516800000,1,0.41053075595011984,0.3451802281708346,0.5085565476190477,EXACTLY_SYNCHRONIZED,0,INITIAL_BALANCED_BEHAVIOUR -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> DIRECTIONAL_SHIFT -> REPEATED_TEST_CLUSTER,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> REJECTION_CLUSTER,INITIAL_BEARISH_BIAS -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTION_CHANGE_IN_CHARACTER -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER
3,1789430400000,2,0.4044875901550725,0.32803156560236946,0.519171626984127,EXACTLY_SYNCHRONIZED,0,INITIAL_BEARISH_BIAS -> RANGE_EXPANSION -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER,INITIAL_BEARISH_BIAS -> RANGE_EXPANSION -> BODY_EXPANSION,INITIAL_BEARISH_BIAS -> RANGE_COMPRESSION -> BODY_COMPRESSION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> LEVEL_INTERACTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> REJECTION_CLUSTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BEARISH_BIAS -> RANGE_EXPANSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_EXPANSION -> LEVEL_INTERACTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST
4,1788393600000,10,0.4002011640121087,0.27115507854831966,0.5937702922077922,EXACTLY_SYNCHRONIZED,0,INITIAL_BULLISH_BIAS -> RANGE_EXPANSION -> BODY_EXPANSION,INITIAL_BULLISH_BIAS -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER -> REPEATED_TEST_CLUSTER
5,1789171200000,3,0.38695998376016427,0.3080285443621785,0.5053571428571428,EXACTLY_SYNCHRONIZED,0,INITIAL_BEARISH_BIAS -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> COUNTERMOVE_AND_RENEWAL,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> DIRECTION_CHANGE_IN_CHARACTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER,INITIAL_BEARISH_BIAS -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> PULLBACK_CLUSTER -> HOLD_CLUSTER -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST
6,1788220800000,9,0.3857935216005036,0.27374317092147427,0.5538690476190476,EXACTLY_SYNCHRONIZED,0,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> HOLD_CLUSTER -> PULLBACK_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> REPEATED_TEST_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_EXPANSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BULLISH_BIAS -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST
7,1788307200000,5,0.38021122847438515,0.2870764341816954,0.5199134199134199,EXACTLY_SYNCHRONIZED,0,INITIAL_BALANCED_BEHAVIOUR -> DIRECTION_CHANGE_IN_CHARACTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> COUNTERMOVE_AND_RENEWAL,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER,INITIAL_BEARISH_BIAS -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_COMPRESSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER,INITIAL_BULLISH_BIAS -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> REPEATED_TEST_CLUSTER -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER
8,1788566400000,16,0.3801706521889048,0.23996695999738094,0.5904761904761905,EXACTLY_SYNCHRONIZED,0,INITIAL_BULLISH_BIAS -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REJECTION_CLUSTER -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER
9,1788652800000,8,0.37103763296216646,0.2743484358893251,0.5160714285714285,EXACTLY_SYNCHRONIZED,0,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BEARISH_BIAS -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER,INITIAL_BULLISH_BIAS -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> PULLBACK_CLUSTER -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER
10,1788739200000,14,0.3581770132561376,0.2462011067496474,0.526140873015873,EXACTLY_SYNCHRONIZED,0,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> HOLD_CLUSTER,INITIAL_BULLISH_BIAS -> RANGE_EXPANSION -> BODY_EXPANSION -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> BODY_EXPANSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER
