rank,reference_timestamp,screen_rank,combined_similarity,cross_tf_candle_similarity,cross_tf_story_similarity,alignment_status,max_alignment_gap_ms,reference_timeframe,1m_story,3m_story,5m_story,15m_story,30m_story,1h_story,4h_story,1d_story
1,1789603200000,1,0.533109096909246,0.4398757057330972,0.6729591836734693,EXACTLY_SYNCHRONIZED_CORE_WITH_DAILY_CONTEXT,0,1h,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER
2,1789588800000,4,0.474716342721604,0.3427571560992582,0.6726551226551226,EXACTLY_SYNCHRONIZED_CORE_WITH_DAILY_CONTEXT,0,1h,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER
3,1788926400000,5,0.45180244502057887,0.34123158826181127,0.6176587301587302,EXACTLY_SYNCHRONIZED_CORE_WITH_DAILY_CONTEXT,0,1h,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION,INITIAL_BEARISH_BIAS -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BEARISH_BIAS -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> REJECTION_CLUSTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> REJECTION_CLUSTER,INITIAL_BEARISH_BIAS -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> HOLD_CLUSTER
4,1789416000000,6,0.44841821581677505,0.3385957414028639,0.6131519274376417,EXACTLY_SYNCHRONIZED_CORE_WITH_DAILY_CONTEXT,0,1h,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BEARISH_BIAS -> DIRECTIONAL_SHIFT -> HOLD_CLUSTER -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> LEVEL_INTERACTION_CLUSTER,INITIAL_BULLISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER -> COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> PULLBACK_CLUSTER
5,1789041600000,21,0.4313049319880754,0.3053683862688633,0.6202097505668934,EXACTLY_SYNCHRONIZED_CORE_WITH_DAILY_CONTEXT,0,1h,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> LEVEL_INTERACTION_CLUSTER -> HOLD_CLUSTER -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BEARISH_BIAS -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BEARISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> HOLD_CLUSTER
6,1788552000000,41,0.42546423671389055,0.2906263355662348,0.6277210884353741,EXACTLY_SYNCHRONIZED_CORE_WITH_DAILY_CONTEXT,0,1h,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> COUNTERMOVE_AND_RENEWAL -> REPEATED_TEST_CLUSTER -> HOLD_CLUSTER -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST
7,1789387200000,15,0.4222302044727978,0.30921587366781494,0.591751700680272,EXACTLY_SYNCHRONIZED_CORE_WITH_DAILY_CONTEXT,0,1h,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BEARISH_BIAS -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTION_CHANGE_IN_CHARACTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BULLISH_BIAS -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> PULLBACK_CLUSTER
8,1788782400000,8,0.4217544145462083,0.3246360423842702,0.5674319727891156,EXACTLY_SYNCHRONIZED_CORE_WITH_DAILY_CONTEXT,0,1h,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BULLISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> HOLD_CLUSTER,INITIAL_BULLISH_BIAS -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> COUNTERMOVE_AND_RENEWAL -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER
9,1789531200000,7,0.42155952185307444,0.332228832718087,0.5555555555555556,EXACTLY_SYNCHRONIZED_CORE_WITH_DAILY_CONTEXT,0,1h,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> HOLD_CLUSTER -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> HOLD_CLUSTER -> PULLBACK_CLUSTER -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> PULLBACK_CLUSTER -> HOLD_CLUSTER -> REJECTION_CLUSTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTION_CHANGE_IN_CHARACTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER
10,1788336000000,25,0.41991510151523664,0.3000474670000731,0.5997165532879819,EXACTLY_SYNCHRONIZED_CORE_WITH_DAILY_CONTEXT,0,1h,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> HOLD_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> PULLBACK_CLUSTER -> REJECTION_CLUSTER -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER,INITIAL_BEARISH_BIAS -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER,INITIAL_BULLISH_BIAS -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> REPEATED_TEST_CLUSTER -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER
