reference_timestamp,screen_rank,timeframe,candidate_start,candidate_end,candle_structure_similarity,story_similarity,family_story,story,synchronization
1789603200000,1,1m,29801,29820,0.2519510189541973,1.0,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789603200000,1,3m,29921,29940,0.2842705887103035,0.8,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789603200000,1,5m,29944,29963,0.2665835266503692,0.5,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> HOLD -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789603200000,1,15m,29968,29987,0.3746045936776347,0.2142857142857143,INITIAL_CONTEXT -> RANGE_CHANGE -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> REJECTION_CLUSTER,EXACT
1789603200000,1,30m,29974,29993,0.45646769513297053,0.5714285714285714,INITIAL_CONTEXT -> RANGE_CHANGE -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789603200000,1,1h,29977,29996,0.44525251700685503,0.625,INITIAL_CONTEXT -> RANGE_CHANGE -> LEVEL_INTERACTION -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,EXACT
1789603200000,1,4h,9980,9999,0.9999999999993504,1.0,INITIAL_CONTEXT -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789603200000,1,1d,2980,2999,0.9999999999997423,1.0,INITIAL_CONTEXT -> LEVEL_INTERACTION -> REJECTION -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,ASOF_CONTEXT
1788955200000,2,1m,19001,19020,0.4055239952444219,0.6,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION,EXACT
1788955200000,2,3m,26321,26340,0.4547824241951963,0.375,INITIAL_CONTEXT -> DIRECTION_CHANGE,INITIAL_BULLISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER,EXACT
1788955200000,2,5m,27784,27803,0.41000497382699314,0.5833333333333333,INITIAL_CONTEXT -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788955200000,2,15m,29248,29267,0.39793291361481586,0.1428571428571429,INITIAL_CONTEXT,INITIAL_BALANCED_BEHAVIOUR,EXACT
1788955200000,2,30m,29614,29633,0.24470002582568887,0.7142857142857143,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,EXACT
1788955200000,2,1h,29797,29816,0.18383560627675738,0.6875,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,EXACT
1788955200000,2,4h,9935,9954,0.3811261365029434,0.5,INITIAL_CONTEXT -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788955200000,2,1d,2972,2991,0.1766400343357585,0.25,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> HOLD,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> HOLD_CLUSTER,ASOF_CONTEXT
1789070400000,3,1m,20921,20940,0.3341275163813025,0.19999999999999996,INITIAL_CONTEXT -> PULLBACK,INITIAL_BALANCED_BEHAVIOUR -> PULLBACK_CLUSTER,EXACT
1789070400000,3,3m,26961,26980,0.28352523342245006,0.8,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789070400000,3,5m,28168,28187,0.3565285180587572,0.5714285714285714,INITIAL_CONTEXT -> DIRECTION_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,EXACT
1789070400000,3,15m,29376,29395,0.427073905633588,0.2142857142857143,INITIAL_CONTEXT -> REJECTION,INITIAL_BULLISH_BIAS -> REJECTION_CLUSTER,EXACT
1789070400000,3,30m,29678,29697,0.3679500814716718,0.625,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,EXACT
1789070400000,3,1h,29829,29848,0.3989342982725546,0.5625,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER,EXACT
1789070400000,3,4h,9943,9962,0.3094058811956073,0.44999999999999996,INITIAL_CONTEXT -> DIRECTION_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> COUNTERMOVE_AND_RENEWAL -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,EXACT
1789070400000,3,1d,2973,2992,0.21728561952626577,0.25,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> HOLD_CLUSTER,ASOF_CONTEXT
1789588800000,4,1m,29561,29580,0.29078266416688525,0.9,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789588800000,4,3m,29841,29860,0.3880745084964462,0.5,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER,EXACT
1789588800000,4,5m,29896,29915,0.31526968293391766,0.5,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER,EXACT
1789588800000,4,15m,29952,29971,0.24551892328695316,0.6363636363636364,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> DIRECTION_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> HOLD -> REJECTION -> PULLBACK -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,EXACT
1789588800000,4,30m,29966,29985,0.21988944917334088,0.44999999999999996,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST -> REJECTION -> EXPANSION_AFTER_TEST -> PULLBACK,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER,EXACT
1789588800000,4,1h,29973,29992,0.39228735161807576,0.7222222222222222,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,EXACT
1789588800000,4,4h,9979,9998,0.5474775130191887,1.0,INITIAL_CONTEXT -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789588800000,4,1d,2979,2998,0.699655191769579,0.9166666666666666,INITIAL_CONTEXT -> LEVEL_INTERACTION -> REJECTION -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,ASOF_CONTEXT
1788926400000,5,1m,18521,18540,0.30351274784658855,0.6,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION,EXACT
1788926400000,5,3m,26161,26180,0.5249056935638965,0.8,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BEARISH_BIAS -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
