transition_family,timeframe_count,timeframes,1m,3m,5m,15m,30m,1h,4h,1d
BODY_CHANGE -> LEVEL_INTERACTION,2,"3m,5m",0,1,1,0,0,0,0,0
BODY_CHANGE -> REJECTION,1,1m,1,0,0,0,0,0,0,0
DIRECTION_CHANGE -> BODY_CHANGE,1,5m,0,0,1,0,0,0,0,0
DIRECTION_CHANGE -> HOLD,1,15m,0,0,0,1,0,0,0,0
DIRECTION_CHANGE -> REJECTION,1,1h,0,0,0,0,0,1,0,0
EXPANSION_AFTER_TEST -> HOLD,3,"15m,30m,1h",0,0,0,1,1,1,0,0
EXPANSION_AFTER_TEST -> LEVEL_INTERACTION,1,4h,0,0,0,0,0,0,1,0
EXPANSION_AFTER_TEST -> PULLBACK,1,15m,0,0,0,1,0,0,0,0
EXPANSION_AFTER_TEST -> REJECTION,2,"5m,1d",0,0,1,0,0,0,0,1
HOLD -> EXPANSION_AFTER_TEST,2,"15m,30m",0,0,0,1,1,0,0,0
HOLD -> LEVEL_INTERACTION,1,1h,0,0,0,0,0,1,0,0
INITIAL_CONTEXT -> BODY_CHANGE,1,3m,0,1,0,0,0,0,0,0
INITIAL_CONTEXT -> DIRECTION_CHANGE,2,"5m,15m",0,0,1,1,0,0,0,0
INITIAL_CONTEXT -> LEVEL_INTERACTION,1,1d,0,0,0,0,0,0,0,1
INITIAL_CONTEXT -> RANGE_CHANGE,3,"1m,30m,1h",1,0,0,0,1,1,0,0
INITIAL_CONTEXT -> REJECTION,1,4h,0,0,0,0,0,0,1,0
LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,5,"3m,5m,1h,4h,1d",0,1,1,0,0,1,1,1
LEVEL_INTERACTION -> REJECTION,1,1d,0,0,0,0,0,0,0,1
PULLBACK -> EXPANSION_AFTER_TEST,1,15m,0,0,0,1,0,0,0,0
RANGE_CHANGE -> BODY_CHANGE,1,1m,1,0,0,0,0,0,0,0
RANGE_CHANGE -> DIRECTION_CHANGE,1,1h,0,0,0,0,0,1,0,0
RANGE_CHANGE -> HOLD,1,30m,0,0,0,0,1,0,0,0
REJECTION -> EXPANSION_AFTER_TEST,2,"1m,4h",1,0,0,0,0,0,1,0
REJECTION -> HOLD,1,1h,0,0,0,0,0,1,0,0
REJECTION -> LEVEL_INTERACTION,1,1d,0,0,0,0,0,0,0,1
