timeframe_a,timeframe_b,alignment_score,family_sequence_a,family_sequence_b,relationship
1m,3m,0.6,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,MODERATE_FAMILY_ALIGNMENT
1m,5m,0.5,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION,MODERATE_FAMILY_ALIGNMENT
1m,15m,0.2857142857142857,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> PULLBACK -> EXPANSION_AFTER_TEST -> HOLD,LOW_FAMILY_ALIGNMENT
1m,30m,0.4,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> HOLD,LOW_FAMILY_ALIGNMENT
1m,1h,0.5,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> REJECTION -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,MODERATE_FAMILY_ALIGNMENT
1m,4h,0.4,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,LOW_FAMILY_ALIGNMENT
1m,1d,0.33333333333333337,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> LEVEL_INTERACTION -> REJECTION -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION,LOW_FAMILY_ALIGNMENT
3m,5m,0.6666666666666667,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION,MODERATE_FAMILY_ALIGNMENT
3m,15m,0.2857142857142857,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> DIRECTION_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> PULLBACK -> EXPANSION_AFTER_TEST -> HOLD,LOW_FAMILY_ALIGNMENT
3m,30m,0.4,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> HOLD -> EXPANSION_AFTER_TEST -> HOLD,LOW_FAMILY_ALIGNMENT
3m,1h,0.375,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> REJECTION -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,LOW_FAMILY_ALIGNMENT
