timeframe,transition_order,transition_from,transition_to,transition_label,current_story,historical_story_presence_pct,historical_occurrences,historical_transition_status
1m,1,INITIAL_BALANCED_BEHAVIOUR,RANGE_EXPANSION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,84.0,21,COMMON_IN_MATCH_SET
1m,2,RANGE_EXPANSION,BODY_EXPANSION,RANGE_EXPANSION -> BODY_EXPANSION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,80.0,20,COMMON_IN_MATCH_SET
1m,3,BODY_EXPANSION,REJECTION_CLUSTER,BODY_EXPANSION -> REJECTION_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,32.0,8,PRESENT_IN_MATCH_SET
1m,4,REJECTION_CLUSTER,EXPANSION_AFTER_TEST,REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,36.0,9,PRESENT_IN_MATCH_SET
3m,1,INITIAL_BALANCED_BEHAVIOUR,BODY_COMPRESSION,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,56.0,14,COMMON_IN_MATCH_SET
3m,2,BODY_COMPRESSION,REPEATED_TEST_CLUSTER,BODY_COMPRESSION -> REPEATED_TEST_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,40.0,10,PRESENT_IN_MATCH_SET
3m,3,REPEATED_TEST_CLUSTER,EXPANSION_AFTER_TEST,REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,60.0,15,COMMON_IN_MATCH_SET
5m,1,INITIAL_BALANCED_BEHAVIOUR,DIRECTIONAL_SHIFT,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,44.0,11,PRESENT_IN_MATCH_SET
5m,2,DIRECTIONAL_SHIFT,BODY_COMPRESSION,DIRECTIONAL_SHIFT -> BODY_COMPRESSION,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,68.0,17,COMMON_IN_MATCH_SET
5m,3,BODY_COMPRESSION,REPEATED_TEST_CLUSTER,BODY_COMPRESSION -> REPEATED_TEST_CLUSTER,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,44.0,11,PRESENT_IN_MATCH_SET
