timeframe,transition_from,transition_to,occurrences,stories_with_transition,story_count,story_presence_pct,transition_label,source_set
1m,INITIAL_BALANCED_BEHAVIOUR,RANGE_EXPANSION,21,21,25,84.0,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION,top_historical_matches
1m,RANGE_EXPANSION,BODY_EXPANSION,20,20,25,80.0,RANGE_EXPANSION -> BODY_EXPANSION,top_historical_matches
1m,BODY_EXPANSION,REJECTION_CLUSTER,8,8,25,32.0,BODY_EXPANSION -> REJECTION_CLUSTER,top_historical_matches
1m,REJECTION_CLUSTER,EXPANSION_AFTER_TEST,9,9,25,36.0,REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
1m,BODY_EXPANSION,REPEATED_TEST_CLUSTER,6,6,25,24.0,BODY_EXPANSION -> REPEATED_TEST_CLUSTER,top_historical_matches
1m,REPEATED_TEST_CLUSTER,EXPANSION_AFTER_TEST,6,6,25,24.0,REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
1m,BODY_EXPANSION,HOLD_CLUSTER,5,5,25,20.0,BODY_EXPANSION -> HOLD_CLUSTER,top_historical_matches
1m,HOLD_CLUSTER,EXPANSION_AFTER_TEST,8,8,25,32.0,HOLD_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
1m,INITIAL_BALANCED_BEHAVIOUR,DIRECTIONAL_SHIFT,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT,top_historical_matches
1m,DIRECTIONAL_SHIFT,BODY_EXPANSION,2,2,25,8.0,DIRECTIONAL_SHIFT -> BODY_EXPANSION,top_historical_matches
1m,EXPANSION_AFTER_TEST,PULLBACK_CLUSTER,1,1,25,4.0,EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER,top_historical_matches
1m,BODY_EXPANSION,LEVEL_INTERACTION_CLUSTER,2,2,25,8.0,BODY_EXPANSION -> LEVEL_INTERACTION_CLUSTER,top_historical_matches
1m,LEVEL_INTERACTION_CLUSTER,EXPANSION_AFTER_TEST,2,2,25,8.0,LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches
1m,EXPANSION_AFTER_TEST,REJECTION_CLUSTER,1,1,25,4.0,EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,top_historical_matches
1m,BODY_EXPANSION,COUNTERMOVE_AND_RENEWAL,4,4,25,16.0,BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL,top_historical_matches
1m,COUNTERMOVE_AND_RENEWAL,HOLD_CLUSTER,4,4,25,16.0,COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER,top_historical_matches
1m,INITIAL_BALANCED_BEHAVIOUR,BODY_EXPANSION,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION,top_historical_matches
1m,EXPANSION_AFTER_TEST,HOLD_CLUSTER,2,2,25,8.0,EXPANSION_AFTER_TEST -> HOLD_CLUSTER,top_historical_matches
1m,RANGE_EXPANSION,DIRECTION_CHANGE_IN_CHARACTER,1,1,25,4.0,RANGE_EXPANSION -> DIRECTION_CHANGE_IN_CHARACTER,top_historical_matches
1m,DIRECTION_CHANGE_IN_CHARACTER,BODY_EXPANSION,1,1,25,4.0,DIRECTION_CHANGE_IN_CHARACTER -> BODY_EXPANSION,top_historical_matches
