timeframe,transition_from,transition_to,occurrences,stories_with_transition,story_count,story_presence_pct,transition_label,source_set,transition_rank
1m,INITIAL_BALANCED_BEHAVIOUR,RANGE_EXPANSION,21,21,25,84.0,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION,top_historical_matches,1
1m,RANGE_EXPANSION,BODY_EXPANSION,20,20,25,80.0,RANGE_EXPANSION -> BODY_EXPANSION,top_historical_matches,2
1m,REJECTION_CLUSTER,EXPANSION_AFTER_TEST,9,9,25,36.0,REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches,3
1m,BODY_EXPANSION,REJECTION_CLUSTER,8,8,25,32.0,BODY_EXPANSION -> REJECTION_CLUSTER,top_historical_matches,4
1m,HOLD_CLUSTER,EXPANSION_AFTER_TEST,8,8,25,32.0,HOLD_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches,5
1m,BODY_EXPANSION,REPEATED_TEST_CLUSTER,6,6,25,24.0,BODY_EXPANSION -> REPEATED_TEST_CLUSTER,top_historical_matches,6
1m,REPEATED_TEST_CLUSTER,EXPANSION_AFTER_TEST,6,6,25,24.0,REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches,7
1m,BODY_EXPANSION,HOLD_CLUSTER,5,5,25,20.0,BODY_EXPANSION -> HOLD_CLUSTER,top_historical_matches,8
1m,BODY_EXPANSION,COUNTERMOVE_AND_RENEWAL,4,4,25,16.0,BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL,top_historical_matches,9
1m,COUNTERMOVE_AND_RENEWAL,HOLD_CLUSTER,4,4,25,16.0,COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER,top_historical_matches,10
1m,BODY_EXPANSION,LEVEL_INTERACTION_CLUSTER,2,2,25,8.0,BODY_EXPANSION -> LEVEL_INTERACTION_CLUSTER,top_historical_matches,11
1m,DIRECTIONAL_SHIFT,BODY_EXPANSION,2,2,25,8.0,DIRECTIONAL_SHIFT -> BODY_EXPANSION,top_historical_matches,12
1m,EXPANSION_AFTER_TEST,HOLD_CLUSTER,2,2,25,8.0,EXPANSION_AFTER_TEST -> HOLD_CLUSTER,top_historical_matches,13
1m,INITIAL_BALANCED_BEHAVIOUR,BODY_EXPANSION,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION,top_historical_matches,14
1m,INITIAL_BALANCED_BEHAVIOUR,DIRECTIONAL_SHIFT,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT,top_historical_matches,15
3m,REPEATED_TEST_CLUSTER,EXPANSION_AFTER_TEST,15,15,25,60.0,REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches,1
3m,INITIAL_BALANCED_BEHAVIOUR,BODY_COMPRESSION,14,14,25,56.0,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION,top_historical_matches,2
3m,BODY_COMPRESSION,REPEATED_TEST_CLUSTER,10,10,25,40.0,BODY_COMPRESSION -> REPEATED_TEST_CLUSTER,top_historical_matches,3
3m,INITIAL_BALANCED_BEHAVIOUR,RANGE_COMPRESSION,6,6,25,24.0,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION,top_historical_matches,4
3m,REJECTION_CLUSTER,EXPANSION_AFTER_TEST,5,5,25,20.0,REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches,5
3m,BODY_COMPRESSION,REJECTION_CLUSTER,3,3,25,12.0,BODY_COMPRESSION -> REJECTION_CLUSTER,top_historical_matches,6
3m,RANGE_COMPRESSION,BODY_COMPRESSION,3,3,25,12.0,RANGE_COMPRESSION -> BODY_COMPRESSION,top_historical_matches,7
3m,BODY_COMPRESSION,LEVEL_INTERACTION_CLUSTER,2,2,25,8.0,BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER,top_historical_matches,8
3m,INITIAL_BALANCED_BEHAVIOUR,REPEATED_TEST_CLUSTER,2,2,25,8.0,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER,top_historical_matches,9
3m,BODY_COMPRESSION,PULLBACK_CLUSTER,1,1,25,4.0,BODY_COMPRESSION -> PULLBACK_CLUSTER,top_historical_matches,10
3m,COUNTERMOVE_AND_RENEWAL,REPEATED_TEST_CLUSTER,1,1,25,4.0,COUNTERMOVE_AND_RENEWAL -> REPEATED_TEST_CLUSTER,top_historical_matches,11
3m,DIRECTIONAL_SHIFT,BODY_COMPRESSION,1,1,25,4.0,DIRECTIONAL_SHIFT -> BODY_COMPRESSION,top_historical_matches,12
3m,DIRECTIONAL_SHIFT,REPEATED_TEST_CLUSTER,1,1,25,4.0,DIRECTIONAL_SHIFT -> REPEATED_TEST_CLUSTER,top_historical_matches,13
3m,EXPANSION_AFTER_TEST,HOLD_CLUSTER,1,1,25,4.0,EXPANSION_AFTER_TEST -> HOLD_CLUSTER,top_historical_matches,14
3m,EXPANSION_AFTER_TEST,REJECTION_CLUSTER,1,1,25,4.0,EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,top_historical_matches,15
5m,DIRECTIONAL_SHIFT,BODY_COMPRESSION,17,17,25,68.0,DIRECTIONAL_SHIFT -> BODY_COMPRESSION,top_historical_matches,1
5m,REPEATED_TEST_CLUSTER,EXPANSION_AFTER_TEST,16,14,25,56.0,REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,top_historical_matches,2
5m,EXPANSION_AFTER_TEST,REJECTION_CLUSTER,13,11,25,44.0,EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,top_historical_matches,3
