timeframe,rank,similarity,candidate_start,candidate_end,local_index,open_time,level_price,level_type,interaction,repeated_test,post_interaction_expansion,open,high,low,close,volume
1m,1,0.8250513394660557,29393,29412,10,1789578120000,2390.955,BODY_ZONE,TEST,0,0,2390.28,2390.84,2389.78,2390.84,29.0343
1m,1,0.8250513394660557,29393,29412,12,1789578240000,2393.81,BODY_ZONE,TEST,0,1,2391.37,2393.95,2391.37,2393.93,78.6664
1m,1,0.8250513394660557,29393,29412,13,1789578300000,2393.81,BODY_ZONE,PULLBACK,1,0,2393.89,2393.99,2390.52,2390.61,187.0492
1m,1,0.8250513394660557,29393,29412,14,1789578360000,2390.955,BODY_ZONE,REJECTION,1,0,2390.6,2390.99,2390.29,2390.99,52.8615
1m,1,0.8250513394660557,29393,29412,15,1789578420000,2390.955,BODY_ZONE,REJECTION,1,1,2390.99,2391.86,2390.79,2390.79,59.9517
1m,1,0.8250513394660557,29393,29412,16,1789578480000,2390.955,BODY_ZONE,TEST,1,0,2390.79,2390.8,2387.11,2387.7,107.5939
1m,2,0.7811848655844278,18819,18838,10,1788943680000,2518.340625,BODY_ZONE,REJECTION,0,1,2518.53,2518.54,2517.85,2518.54,73.2912
1m,2,0.7811848655844278,18819,18838,11,1788943740000,2518.340625,BODY_ZONE,PULLBACK,1,0,2518.53,2518.54,2516.16,2516.17,185.0585
1m,2,0.7811848655844278,18819,18838,13,1788943860000,2518.340625,BODY_ZONE,TEST,1,0,2516.18,2518.42,2516.18,2518.42,62.684
1m,2,0.7811848655844278,18819,18838,14,1788943920000,2517.3050000000003,SWING_LOW,REJECTION,0,1,2518.42,2518.42,2517.27,2518.39,89.3319
1m,2,0.7811848655844278,18819,18838,16,1788944040000,2520.0,SWING_HIGH,PULLBACK,0,0,2521.45,2521.45,2519.84,2520.8,377.7507
1m,2,0.7811848655844278,18819,18838,17,1788944100000,2520.0,SWING_HIGH,TEST,1,0,2520.8,2520.8,2520.08,2520.3,47.0608
1m,3,0.7789068454820456,29682,29701,10,1789595460000,2402.7,BODY_ZONE,TEST,0,1,2401.8,2402.52,2401.58,2402.52,45.1657
1m,3,0.7789068454820456,29682,29701,11,1789595520000,2402.7,BODY_ZONE,PULLBACK,1,0,2402.51,2403.7,2402.51,2403.7,64.1247
1m,3,0.7789068454820456,29682,29701,13,1789595640000,2404.01,SWING_HIGH,TEST,0,1,2404.89,2405.84,2403.78,2405.84,155.4269
1m,3,0.7789068454820456,29682,29701,14,1789595700000,2404.01,SWING_HIGH,HOLD,1,1,2405.83,2405.86,2403.78,2403.78,141.4993
1m,3,0.7789068454820456,29682,29701,15,1789595760000,2402.7,BODY_ZONE,REJECTION,1,0,2403.78,2404.42,2402.78,2404.42,53.1547
1m,4,0.7767329562693932,1285,1304,10,1787891640000,2486.73,BODY_ZONE,REJECTION,0,1,2485.77,2486.76,2485.77,2486.27,38.8682
1m,4,0.7767329562693932,1285,1304,16,1787892000000,2486.73,BODY_ZONE,PULLBACK,1,0,2484.61,2486.6,2484.61,2486.59,41.8
1m,4,0.7767329562693932,1285,1304,17,1787892060000,2486.73,BODY_ZONE,TEST,1,0,2486.59,2487.88,2486.59,2487.51,42.5754
1m,4,0.7767329562693932,1285,1304,19,1787892180000,2486.73,BODY_ZONE,PULLBACK,1,0,2488.27,2488.27,2486.84,2487.14,102.3354
1m,5,0.7722008173620872,18820,18839,10,1788943740000,2518.340625,BODY_ZONE,TEST,0,0,2518.53,2518.54,2516.16,2516.17,185.0585
1m,5,0.7722008173620872,18820,18839,12,1788943860000,2518.340625,BODY_ZONE,TEST,1,0,2516.18,2518.42,2516.18,2518.42,62.684
1m,5,0.7722008173620872,18820,18839,13,1788943920000,2517.3050000000003,SWING_LOW,REJECTION,0,1,2518.42,2518.42,2517.27,2518.39,89.3319
1m,5,0.7722008173620872,18820,18839,15,1788944040000,2520.0,SWING_HIGH,PULLBACK,0,0,2521.45,2521.45,2519.84,2520.8,377.7507
1m,5,0.7722008173620872,18820,18839,16,1788944100000,2520.0,SWING_HIGH,TEST,1,0,2520.8,2520.8,2520.08,2520.3,47.0608
1m,6,0.7720866648712891,6545,6564,10,1788207240000,2480.115,BODY_ZONE,TEST,0,0,2479.19,2480.0,2479.09,2480.0,44.6926
1m,6,0.7720866648712891,6545,6564,11,1788207300000,2479.495,BODY_ZONE,REJECTION,0,0,2479.99,2480.31,2479.54,2480.3,143.0331
1m,6,0.7720866648712891,6545,6564,12,1788207360000,2480.115,BODY_ZONE,PULLBACK,1,1,2480.31,2480.31,2480.23,2480.23,31.9225
1m,6,0.7720866648712891,6545,6564,13,1788207420000,2480.115,BODY_ZONE,TEST,1,1,2480.23,2481.81,2480.23,2481.8,44.1007
1m,6,0.7720866648712891,6545,6564,19,1788207780000,2480.96,SWING_HIGH,TEST,0,0,2482.68,2482.68,2480.96,2481.35,61.5304
1m,7,0.7717969399585264,14937,14956,10,1788710760000,2477.7174999999997,BODY_ZONE,TEST,0,0,2479.12,2479.13,2477.79,2478.11,96.9026
1m,7,0.7717969399585264,14937,14956,13,1788710940000,2476.755,BODY_ZONE,REJECTION,0,1,2477.28,2477.64,2476.74,2477.42,115.6588
1m,7,0.7717969399585264,14937,14956,14,1788711000000,2479.7,BODY_ZONE,PULLBACK,0,1,2477.41,2479.8,2477.41,2479.79,107.9358
1m,7,0.7717969399585264,14937,14956,15,1788711060000,2479.7,BODY_ZONE,TEST,1,0,2479.79,2482.17,2479.79,2482.17,106.0617
1m,8,0.7716473874563758,9840,9859,10,1788404940000,2404.365,BODY_ZONE,REJECTION,0,1,2404.37,2404.37,2404.1,2404.37,92.9185
1m,8,0.7716473874563758,9840,9859,11,1788405000000,2404.365,BODY_ZONE,TEST,1,1,2404.36,2404.37,2403.74,2403.77,154.8981
1m,8,0.7716473874563758,9840,9859,12,1788405060000,2403.685,SWING_LOW,TEST,0,0,2403.77,2403.78,2403.19,2403.19,45.912
1m,8,0.7716473874563758,9840,9859,13,1788405120000,2403.685,SWING_LOW,PULLBACK,1,1,2403.19,2403.69,2403.19,2403.3,112.4505
1m,8,0.7716473874563758,9840,9859,16,1788405300000,2405.373125,BODY_ZONE+SWING_HIGH,HOLD,0,0,2407.76,2408.01,2405.27,2405.27,76.7245
1m,9,0.7645288881542731,21426,21445,10,1789100100000,2450.245,BODY_ZONE,TEST,0,1,2450.09,2450.88,2450.09,2450.65,142.6192
1m,9,0.7645288881542731,21426,21445,12,1789100220000,2450.245,BODY_ZONE,REJECTION,1,0,2451.69,2451.69,2449.08,2450.36,581.4938
1m,9,0.7645288881542731,21426,21445,13,1789100280000,2450.245,BODY_ZONE,TEST,1,0,2450.36,2451.14,2450.36,2450.7,134.2977
1m,9,0.7645288881542731,21426,21445,14,1789100340000,2451.3175,SWING_HIGH,HOLD,0,1,2450.69,2451.47,2450.69,2451.43,145.1461
1m,9,0.7645288881542731,21426,21445,15,1789100400000,2451.3175,SWING_HIGH,TEST,1,0,2451.43,2452.76,2451.38,2452.75,288.6486
1m,10,0.7589591088376489,10312,10331,10,1788433260000,2396.0699999999997,BODY_ZONE+SWING_LOW,REJECTION,0,0,2396.67,2397.37,2396.11,2397.29,149.3723
1m,10,0.7589591088376489,10312,10331,11,1788433320000,2397.44,SWING_HIGH,TEST,0,1,2397.29,2398.83,2397.29,2398.51,201.7927
1m,10,0.7589591088376489,10312,10331,13,1788433440000,2397.44,SWING_HIGH,HOLD,1,0,2395.72,2397.67,2395.71,2397.67,127.3497
