timeframe,rank,candidate_start,candidate_end,open_time,close_time,similarity,interaction_count,first_interaction_index,last_interaction_index,break_count,hold_count,rejection_count,pullback_count,repeated_level_hits,reaction_expansion_count,interaction_level_types,direction_first_third,direction_last_third,direction_shift,range_first_third,range_last_third,range_shift,story
1m,1,20590,20609,1789049340000,1789050539999,0.2277370034458535,13,20595,20609,3,5,3,4,4,4,PRIOR_BODY -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY,0.0,0.6666666666666666,0.6666666666666666,2.8783333333332544,3.410000000000006,0.5316666666667516,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,2,10381,10400,1788436800000,1788437999999,0.2190209695900002,15,10384,10400,8,5,1,9,7,5,PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH,0.0,0.0,0.0,1.2266666666666122,1.9916666666665606,0.7649999999999484,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,3,131,150,1787821800000,1787822999999,0.21503974953568714,14,132,150,3,5,0,9,6,7,PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY,0.3333333333333333,0.3333333333333333,0.0,2.158333333333227,8.726666666666612,6.568333333333385,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,4,6335,6354,1788194040000,1788195239999,0.21005384391756163,14,6336,6354,6,6,3,7,7,4,PRIOR_HIGH -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.4766666666667636,1.2466666666667454,-0.2300000000000182,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,5,20688,20707,1789055220000,1789056419999,0.207871415240803,12,20689,20707,3,3,2,8,6,2,PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY,0.0,0.0,0.0,1.6749999999998788,1.5400000000001153,-0.13499999999976353,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,6,20895,20914,1789067640000,1789068839999,0.2056113090870499,14,20897,20914,8,2,1,7,10,5,PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY,-0.16666666666666666,0.0,0.16666666666666666,0.9416666666666819,1.8766666666666272,0.9349999999999453,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,7,29192,29211,1789565460000,1789566659999,0.20415577709325144,15,29194,29211,7,1,0,9,8,4,PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH,0.0,-0.3333333333333333,-0.3333333333333333,3.1799999999999877,4.483333333333273,1.3033333333332853,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,8,1875,1894,1787926440000,1787927639999,0.20290517304452302,12,1876,1893,4,3,0,7,5,3,PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH,0.6666666666666666,0.6666666666666666,0.0,5.0016666666665515,5.269999999999982,0.26833333333343035,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,9,5410,5429,1788138540000,1788139739999,0.20201717572910238,14,5411,5429,4,3,0,10,6,3,PRIOR_BODY -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY,0.3333333333333333,0.3333333333333333,0.0,2.7166666666665455,2.538333333333412,-0.1783333333331334,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,10,25724,25743,1789357380000,1789358579999,0.2013897150309097,13,25725,25743,5,3,2,7,5,5,PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY,0.6666666666666666,0.0,-0.6666666666666666,0.9266666666666575,1.4416666666666818,0.5150000000000242,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,11,26352,26371,1789395060000,1789396259999,0.20080522015889665,15,26353,26371,8,6,4,5,6,5,PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH,-0.3333333333333333,0.3333333333333333,0.6666666666666666,2.511666666666694,4.636666666666694,2.1250000000000004,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,12,7756,7775,1788279300000,1788280499999,0.20041989941314475,15,7757,7775,10,1,0,8,10,6,PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_BODY,-0.3333333333333333,-0.3333333333333333,0.0,2.3533333333333153,2.836666666666664,0.4833333333333485,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
